Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ABBV,2015-10-30,1.13,1.08,1,
ABBV,2016-01-29,1.13,1.12,1,
ABBV,2016-04-28,1.15,1.13,1,
ABBV,2016-07-29,1.26,1.2,1,
ABBV,2016-10-28,1.21,1.2,1,
ABBV,2017-01-27,1.2,1.2,0,
ABBV,2017-04-27,1.28,1.26,1,
ABBV,2017-07-28,1.42,1.4,1,
ABBV,2017-10-27,1.41,1.38,1,
ABBV,2018-01-26,1.48,1.44,1,
ABBV,2018-04-26,1.87,1.79,1,
ABBV,2018-07-27,2.0,1.97,1,
ABBV,2018-11-02,2.14,2.02,1,
ABBV,2019-01-25,1.9,1.94,0,
ABBV,2019-04-25,2.14,2.05,1,
ABBV,2019-07-26,2.26,2.21,1,
ABBV,2019-11-01,2.33,2.3,1,
ABBV,2020-02-07,2.21,2.19,1,
ABBV,2020-05-01,2.42,2.25,1,
ABBV,2020-07-31,2.34,2.19,1,
ABBV,2020-10-30,2.83,2.77,1,
ABBV,2021-02-03,2.92,2.85,1,
ABBV,2021-04-30,2.95,2.83,1,
ABBV,2021-07-30,3.09,3.09,0,
ABBV,2021-10-29,3.33,3.22,1,
ABBV,2022-02-02,3.31,3.29,1,
ABBV,2022-04-29,3.24,3.14,1,
ABBV,2022-07-29,3.37,3.31,1,
ABBV,2022-10-28,3.66,3.57,1,
ABBV,2023-02-09,3.6,3.56,1,
ABBV,2023-04-27,2.46,2.46,0,
ABBV,2023-07-27,2.91,2.81,1,
ABBV,2023-10-27,2.95,2.86,1,
ABBV,2024-02-02,2.79,2.77,1,
ABBV,2024-04-26,2.31,2.23,1,14462000000.0
ABBV,2024-07-25,2.65,2.57,1,14460000000.0
ABBV,2024-10-30,3.0,2.91,1,15102000000.0
ABBV,2025-01-31,2.16,2.12,1,13343000000.0
ABBV,2025-04-25,2.46,2.38,1,15423000000.0
