Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ADM,2015-11-03,0.6,0.7,0,
ADM,2016-02-02,0.61,0.64,0,
ADM,2016-05-03,0.42,0.45,0,
ADM,2016-08-02,0.41,0.45,0,
ADM,2016-11-01,0.59,0.46,1,
ADM,2017-02-07,0.75,0.77,0,
ADM,2017-05-02,0.6,0.62,0,
ADM,2017-08-01,0.57,0.52,1,
ADM,2017-10-31,0.45,0.55,0,
ADM,2018-02-06,0.82,0.7,1,
ADM,2018-05-01,0.68,0.5,1,
ADM,2018-07-31,1.02,0.77,1,
ADM,2018-11-06,0.92,0.83,1,
ADM,2019-02-05,0.88,0.92,0,
ADM,2019-04-26,0.46,0.6,0,
ADM,2019-08-01,0.6,0.61,0,
ADM,2019-10-31,0.77,0.69,1,
ADM,2020-01-29,0.81,0.69,1,
ADM,2020-04-29,0.64,0.55,1,
ADM,2020-07-29,0.85,0.51,1,
ADM,2020-10-29,0.89,0.71,1,
ADM,2021-01-26,1.21,1.1,1,
ADM,2021-04-27,1.39,1.04,1,
ADM,2021-07-27,1.33,1.03,1,
ADM,2021-10-26,0.97,0.89,1,
ADM,2022-01-25,1.5,1.37,1,
ADM,2022-04-26,1.9,1.41,1,
ADM,2022-07-26,2.15,1.71,1,
ADM,2022-10-25,1.86,1.44,1,
ADM,2023-01-26,1.93,1.65,1,
ADM,2023-04-25,2.09,1.78,1,
ADM,2023-07-25,1.89,1.6,1,
ADM,2023-10-24,1.63,1.52,1,
ADM,2024-03-12,1.36,1.43,0,
ADM,2024-04-30,1.46,1.36,1,22248000000.0
ADM,2024-07-30,1.03,1.22,0,19937000000.0
ADM,2024-11-04,1.09,1.25,0,21498000000.0
ADM,2025-02-04,1.14,1.15,0,20175000000.0
ADM,2025-05-06,0.7,0.67,1,21166000000.0
