Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ADP,2015-10-28,0.68,0.65,1,
ADP,2016-02-03,0.72,0.72,0,
ADP,2016-04-28,1.17,1.18,0,
ADP,2016-07-28,0.69,0.67,1,
ADP,2016-11-02,0.86,0.76,1,
ADP,2017-02-01,0.87,0.81,1,
ADP,2017-05-03,1.31,1.23,1,
ADP,2017-07-27,0.66,0.67,0,
ADP,2017-11-02,0.91,0.85,1,
ADP,2018-01-31,0.99,0.9,1,
ADP,2018-05-02,1.52,1.44,1,
ADP,2018-08-01,0.92,0.9,1,
ADP,2018-10-31,1.2,1.11,1,
ADP,2019-01-30,1.34,1.18,1,
ADP,2019-05-01,1.77,1.69,1,
ADP,2019-07-31,1.14,1.13,1,
ADP,2019-10-30,1.34,1.33,1,
ADP,2020-01-29,1.52,1.45,1,
ADP,2020-04-29,1.92,1.89,1,
ADP,2020-07-29,1.14,0.96,1,
ADP,2020-10-28,1.41,0.98,1,
ADP,2021-01-27,1.52,1.29,1,
ADP,2021-04-28,1.89,1.82,1,
ADP,2021-07-28,1.2,1.14,1,
ADP,2021-10-27,1.65,1.49,1,
ADP,2022-01-26,1.65,1.63,1,
ADP,2022-04-27,2.21,2.08,1,
ADP,2022-07-27,1.5,1.46,1,
ADP,2022-10-26,1.86,1.8,1,
ADP,2023-01-25,1.96,1.94,1,
ADP,2023-04-26,2.52,2.45,1,
ADP,2023-07-26,1.89,1.83,1,
ADP,2023-10-25,2.08,2.03,1,
ADP,2024-01-31,2.13,2.1,1,
ADP,2024-05-01,2.88,2.79,1,
ADP,2024-07-31,2.09,2.06,1,4832700000.0
ADP,2024-10-30,2.33,2.21,1,5048400000.0
ADP,2025-01-29,2.35,2.29,1,5553000000.0
ADP,2025-04-30,3.06,2.97,1,5126800000.0
