Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ADSK,2015-11-19,0.14,0.08,1,
ADSK,2016-02-25,0.21,0.11,1,
ADSK,2016-05-19,-0.1,-0.14,1,
ADSK,2016-08-25,0.05,-0.13,1,
ADSK,2016-11-29,-0.18,-0.24,1,
ADSK,2017-03-02,-0.28,-0.34,1,
ADSK,2017-05-18,-0.16,-0.24,1,
ADSK,2017-08-24,-0.11,-0.15,1,
ADSK,2017-11-28,-0.12,-0.13,1,
ADSK,2018-03-06,-0.09,-0.11,1,
ADSK,2018-05-24,0.06,0.03,1,
ADSK,2018-08-23,0.19,0.15,1,
ADSK,2018-11-20,0.29,0.27,1,
ADSK,2019-02-28,0.46,0.42,1,
ADSK,2019-05-23,0.45,0.47,0,
ADSK,2019-08-27,0.65,0.61,1,
ADSK,2019-11-26,0.78,0.72,1,
ADSK,2020-02-27,0.92,0.89,1,
ADSK,2020-05-27,0.85,0.8,1,
ADSK,2020-08-25,0.98,0.9,1,
ADSK,2020-11-24,1.04,0.96,1,
ADSK,2021-02-25,1.18,1.07,1,
ADSK,2021-05-27,1.03,0.94,1,
ADSK,2021-08-25,1.21,1.13,1,
ADSK,2021-11-23,1.33,1.26,1,
ADSK,2022-02-24,1.5,1.44,1,
ADSK,2022-05-26,1.43,1.34,1,
ADSK,2022-08-24,1.65,1.57,1,
ADSK,2022-11-22,1.7,1.7,0,
ADSK,2023-02-23,1.86,1.81,1,
ADSK,2023-05-25,1.55,1.55,0,
ADSK,2023-08-23,1.91,1.73,1,
ADSK,2023-11-21,2.07,1.99,1,
ADSK,2024-02-29,2.09,1.95,1,
ADSK,2024-06-10,1.87,1.77,1,
ADSK,2024-08-29,2.15,2.0,1,
ADSK,2024-11-26,2.17,2.12,1,
ADSK,2025-02-27,2.29,2.14,1,
ADSK,2025-05-22,2.29,2.15,1,
