Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AEE,2016-05-10,0.43,0.38,1,
AEE,2016-08-05,0.61,0.52,1,
AEE,2016-11-04,1.52,1.38,1,
AEE,2017-02-16,0.13,0.15,0,
AEE,2017-05-04,0.42,0.39,1,
AEE,2017-08-04,0.79,0.7,1,
AEE,2017-11-03,1.24,1.33,0,
AEE,2018-02-16,0.39,0.36,1,
AEE,2018-05-09,0.62,0.58,1,
AEE,2018-08-03,0.97,0.78,1,
AEE,2018-10-31,1.5,1.31,1,
AEE,2019-02-14,0.28,0.32,0,
AEE,2019-05-09,0.78,0.68,1,
AEE,2019-08-02,0.72,0.75,0,
AEE,2019-11-08,1.47,1.45,1,
AEE,2020-02-26,0.38,0.31,1,
AEE,2020-05-11,0.59,0.7,0,
AEE,2020-08-06,0.98,0.87,1,
AEE,2020-11-04,1.47,1.47,0,
AEE,2021-02-18,0.46,0.42,1,
AEE,2021-05-10,0.91,0.74,1,
AEE,2021-08-05,0.8,0.78,1,
AEE,2021-11-03,1.65,1.61,1,
AEE,2022-02-17,0.48,0.49,0,
AEE,2022-05-05,0.97,0.98,0,
AEE,2022-08-04,0.8,0.83,0,
AEE,2022-11-03,1.74,1.74,0,
AEE,2023-02-15,0.63,0.56,1,
AEE,2023-05-04,1.0,0.94,1,
AEE,2023-08-02,0.9,0.8,1,
AEE,2023-11-08,1.87,1.82,1,
AEE,2024-02-22,0.6,0.61,0,
AEE,2024-05-02,0.98,1.06,0,1693000000.0
AEE,2024-08-01,0.97,0.93,1,1693000000.0
AEE,2024-11-06,1.87,1.91,0,1941000000.0
AEE,2025-02-13,0.77,0.79,0,2097000000.0
AEE,2025-05-01,1.07,1.06,1,2097000000.0
