Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AIZ,2016-04-26,1.52,1.23,1,
AIZ,2016-07-26,1.42,1.35,1,
AIZ,2016-10-25,1.0,0.98,1,
AIZ,2017-02-07,0.46,0.29,1,
AIZ,2017-05-02,1.87,1.52,1,
AIZ,2017-08-01,1.63,1.58,1,
AIZ,2017-11-02,-1.4,-1.72,1,
AIZ,2018-02-08,1.84,1.6,1,
AIZ,2018-05-03,2.0,1.93,1,
AIZ,2018-08-07,2.13,1.76,1,
AIZ,2018-11-06,1.06,1.01,1,
AIZ,2019-02-12,0.77,0.46,1,
AIZ,2019-05-06,2.21,2.13,1,
AIZ,2019-08-06,2.34,2.09,1,
AIZ,2019-11-05,1.69,1.65,1,
AIZ,2020-02-11,2.25,2.39,0,
AIZ,2020-05-05,2.64,2.42,1,
AIZ,2020-08-04,2.75,2.09,1,
AIZ,2020-11-02,1.41,1.0,1,
AIZ,2021-02-09,1.82,2.08,0,
AIZ,2021-05-04,3.03,1.96,1,
AIZ,2021-08-03,2.99,2.5,1,
AIZ,2021-11-02,1.41,1.9,0,
AIZ,2022-02-08,2.47,2.3,1,
AIZ,2022-05-03,3.75,2.87,1,
AIZ,2022-08-02,2.95,3.16,0,
AIZ,2022-11-01,1.01,1.18,0,
AIZ,2023-02-07,3.23,2.71,1,
AIZ,2023-05-02,2.75,2.32,1,
AIZ,2023-08-01,3.89,2.57,1,
AIZ,2023-10-31,4.29,2.58,1,
AIZ,2024-02-06,4.58,3.72,1,
AIZ,2024-05-07,4.78,3.87,1,2924900000.0
AIZ,2024-08-06,4.08,3.62,1,2967700000.0
AIZ,2024-11-05,3.0,2.52,1,3104800000.0
AIZ,2025-02-11,4.79,4.13,1,3074000000.0
AIZ,2025-05-06,3.39,2.75,1,3158400000.0
