Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AKAM,2015-10-27,0.62,0.57,1,
AKAM,2016-02-09,0.72,0.62,1,
AKAM,2016-04-26,0.66,0.63,1,
AKAM,2016-07-26,0.64,0.64,0,
AKAM,2016-10-25,0.68,0.61,1,
AKAM,2017-02-07,0.72,0.68,1,
AKAM,2017-05-02,0.69,0.67,1,
AKAM,2017-07-25,0.62,0.6,1,
AKAM,2017-10-24,0.62,0.59,1,
AKAM,2018-02-06,0.69,0.63,1,
AKAM,2018-04-30,0.79,0.7,1,
AKAM,2018-07-31,0.83,0.8,1,
AKAM,2018-10-29,0.94,0.83,1,
AKAM,2019-02-12,1.07,1.0,1,
AKAM,2019-04-30,1.1,1.02,1,
AKAM,2019-07-30,1.07,1.0,1,
AKAM,2019-10-28,1.1,1.0,1,
AKAM,2020-02-11,1.23,1.13,1,
AKAM,2020-04-28,1.2,1.16,1,
AKAM,2020-07-28,1.38,1.21,1,
AKAM,2020-10-27,1.31,1.23,1,
AKAM,2021-02-09,1.33,1.31,1,
AKAM,2021-05-04,1.38,1.3,1,
AKAM,2021-08-03,1.42,1.38,1,
AKAM,2021-11-02,1.45,1.39,1,
AKAM,2022-02-15,1.49,1.42,1,
AKAM,2022-05-03,1.39,1.42,0,
AKAM,2022-08-09,1.35,1.31,1,
AKAM,2022-11-08,1.26,1.22,1,
AKAM,2023-02-14,1.37,1.27,1,
AKAM,2023-05-09,1.4,1.32,1,
AKAM,2023-08-08,1.49,1.41,1,
AKAM,2023-11-07,1.63,1.5,1,
AKAM,2024-02-13,1.69,1.6,1,
AKAM,2024-05-09,1.64,1.6,1,979580000.0
AKAM,2024-08-08,1.58,1.53,1,1004679000.0
AKAM,2024-11-07,1.59,1.59,0,1019939000.0
AKAM,2025-02-20,1.66,1.51,1,1015139000.0
AKAM,2025-05-08,1.7,1.57,1,1043494000.0
