Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ALLE,2015-10-29,0.92,0.78,1,
ALLE,2016-02-11,0.89,0.73,1,
ALLE,2016-04-28,0.61,0.64,0,
ALLE,2016-07-28,0.99,0.9,1,
ALLE,2016-10-27,0.93,0.95,0,
ALLE,2017-02-09,0.81,0.87,0,
ALLE,2017-04-27,0.73,0.69,1,
ALLE,2017-07-27,1.11,1.0,1,
ALLE,2017-10-26,1.02,1.02,0,
ALLE,2018-02-20,1.11,0.93,1,
ALLE,2018-04-26,0.8,0.85,0,
ALLE,2018-07-26,1.25,1.19,1,
ALLE,2018-10-25,1.23,1.21,1,
ALLE,2019-02-19,1.22,1.22,0,
ALLE,2019-04-25,0.88,0.87,1,
ALLE,2019-07-25,1.26,1.32,0,
ALLE,2019-10-24,1.47,1.32,1,
ALLE,2020-02-18,1.28,1.29,0,
ALLE,2020-04-23,1.04,0.89,1,
ALLE,2020-07-23,0.92,0.84,1,
ALLE,2020-10-22,1.67,1.22,1,
ALLE,2021-02-16,1.49,1.19,1,
ALLE,2021-04-22,1.2,1.02,1,
ALLE,2021-07-22,1.32,1.32,0,
ALLE,2021-10-21,1.56,1.29,1,
ALLE,2022-02-15,1.11,1.02,1,
ALLE,2022-04-26,1.07,0.98,1,
ALLE,2022-07-28,1.37,1.33,1,
ALLE,2022-10-27,1.64,1.47,1,
ALLE,2023-02-22,1.6,1.39,1,
ALLE,2023-04-26,1.58,1.36,1,
ALLE,2023-07-26,1.76,1.71,1,
ALLE,2023-10-31,1.94,1.73,1,
ALLE,2024-02-20,1.68,1.59,1,
ALLE,2024-04-25,1.55,1.45,1,965600000.0
ALLE,2024-07-24,1.96,1.84,1,967100000.0
ALLE,2024-10-24,2.16,1.98,1,945600000.0
ALLE,2025-02-18,1.86,1.75,1,941900000.0
ALLE,2025-04-24,1.86,1.67,1,1022000000.0
