Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AMCR,2019-11-07,0.13,0.15,0,
AMCR,2020-02-11,0.16,0.15,1,
AMCR,2020-05-11,0.15,0.16,0,
AMCR,2020-08-18,0.19,0.19,0,
AMCR,2020-11-05,0.16,0.15,1,
AMCR,2021-02-02,0.18,0.17,1,
AMCR,2021-05-04,0.18,0.17,1,
AMCR,2021-08-17,0.23,0.22,1,
AMCR,2021-11-02,0.18,0.18,0,
AMCR,2022-02-01,0.18,0.18,0,
AMCR,2022-05-03,0.2,0.2,0,
AMCR,2022-08-17,0.24,0.24,0,
AMCR,2022-11-01,0.18,0.18,0,
AMCR,2023-02-07,0.19,0.18,1,
AMCR,2023-05-02,0.18,0.18,0,
AMCR,2023-08-16,0.19,0.18,1,
AMCR,2023-10-31,0.16,0.15,1,
AMCR,2024-02-06,0.16,0.15,1,
AMCR,2024-04-30,0.18,0.16,1,3535000000.0
AMCR,2024-08-15,0.21,0.2,1,3353000000.0
AMCR,2024-10-31,0.16,0.16,0,3241000000.0
AMCR,2025-02-04,0.16,0.16,0,3333000000.0
AMCR,2025-04-30,0.18,0.18,0,5082000000.0
