Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AMGN,2015-10-28,2.72,2.38,1,
AMGN,2016-01-28,2.61,2.29,1,
AMGN,2016-04-28,2.9,2.6,1,
AMGN,2016-07-27,2.84,2.74,1,
AMGN,2016-10-27,3.02,2.79,1,
AMGN,2017-02-02,2.89,2.79,1,
AMGN,2017-04-26,3.15,3.0,1,
AMGN,2017-07-25,3.27,3.11,1,
AMGN,2017-10-25,3.27,3.11,1,
AMGN,2018-02-01,2.89,3.03,0,
AMGN,2018-04-24,3.47,3.23,1,
AMGN,2018-07-26,3.83,3.54,1,
AMGN,2018-10-30,3.69,3.45,1,
AMGN,2019-01-29,3.42,3.27,1,
AMGN,2019-04-30,3.56,3.48,1,
AMGN,2019-07-30,3.97,3.59,1,
AMGN,2019-10-29,3.66,3.53,1,
AMGN,2020-01-30,3.64,3.47,1,
AMGN,2020-04-30,4.17,3.76,1,
AMGN,2020-07-28,4.25,3.82,1,
AMGN,2020-10-28,4.37,3.81,1,
AMGN,2021-02-02,3.81,3.39,1,
AMGN,2021-04-27,3.7,4.05,0,
AMGN,2021-08-03,4.38,4.09,1,
AMGN,2021-11-02,4.67,4.27,1,
AMGN,2022-02-07,4.36,4.08,1,
AMGN,2022-04-27,4.25,4.09,1,
AMGN,2022-08-04,4.65,4.4,1,
AMGN,2022-11-03,4.7,4.44,1,
AMGN,2023-01-31,4.09,4.1,0,
AMGN,2023-04-27,3.98,3.85,1,
AMGN,2023-08-03,5.0,4.49,1,
AMGN,2023-10-31,4.96,4.67,1,
AMGN,2024-02-06,4.71,4.61,1,
AMGN,2024-05-02,3.96,3.87,1,8388000000.0
AMGN,2024-08-06,4.97,5.01,0,8503000000.0
AMGN,2024-10-30,5.58,5.11,1,9086000000.0
AMGN,2025-02-04,5.31,5.08,1,8149000000.0
AMGN,2025-05-01,4.9,4.3,1,8149000000.0
