Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AMP,2015-10-21,2.35,2.33,1,
AMP,2016-01-27,2.47,2.35,1,
AMP,2016-04-27,2.17,2.18,0,
AMP,2016-07-26,2.23,2.26,0,
AMP,2016-10-25,2.29,2.42,0,
AMP,2017-02-01,2.73,2.43,1,
AMP,2017-04-24,2.7,2.52,1,
AMP,2017-07-25,2.8,2.62,1,
AMP,2017-10-24,3.53,2.79,1,
AMP,2018-01-24,3.26,0.94,1,
AMP,2018-04-23,3.7,3.46,1,
AMP,2018-07-24,3.6,3.48,1,
AMP,2018-10-23,4.05,3.69,1,
AMP,2019-01-30,3.8,3.58,1,
AMP,2019-04-24,3.75,3.65,1,
AMP,2019-07-24,4.06,4.04,1,
AMP,2019-10-23,4.24,4.1,1,
AMP,2020-01-29,4.2,4.27,0,
AMP,2020-05-06,5.41,3.94,1,
AMP,2020-07-29,2.64,2.46,1,
AMP,2020-10-28,4.27,1.47,1,
AMP,2021-01-27,4.53,4.52,1,
AMP,2021-04-26,5.43,4.69,1,
AMP,2021-07-26,5.27,5.21,1,
AMP,2021-10-26,5.91,5.48,1,
AMP,2022-01-26,6.15,5.7,1,
AMP,2022-04-25,5.98,5.86,1,
AMP,2022-07-26,5.81,5.56,1,
AMP,2022-10-25,6.43,5.85,1,
AMP,2023-01-25,6.94,6.48,1,
AMP,2023-04-24,7.25,7.21,1,
AMP,2023-07-26,7.44,7.38,1,
AMP,2023-10-25,6.96,7.56,0,
AMP,2024-01-24,7.2,7.7,0,
AMP,2024-04-22,8.39,8.2,1,4220000000.0
AMP,2024-07-24,8.72,8.53,1,4397000000.0
AMP,2024-10-23,8.1,8.92,0,4501000000.0
AMP,2025-01-29,9.36,9.05,1,4354000000.0
AMP,2025-04-24,9.5,9.08,1,4375000000.0
