Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AMZN,2015-10-22,0.01,-0.01,1,
AMZN,2016-01-28,0.05,0.08,0,
AMZN,2016-04-28,0.05,0.03,1,
AMZN,2016-07-28,0.09,0.06,1,
AMZN,2016-10-27,0.03,0.04,0,
AMZN,2017-02-02,0.08,0.07,1,
AMZN,2017-04-27,0.07,0.05,1,
AMZN,2017-07-27,0.02,0.07,0,
AMZN,2018-02-01,0.11,0.09,1,
AMZN,2018-04-26,0.16,0.06,1,
AMZN,2018-07-26,0.25,0.13,1,
AMZN,2018-10-25,0.29,0.16,1,
AMZN,2019-01-31,0.3,0.28,1,
AMZN,2019-04-25,0.35,0.24,1,
AMZN,2019-07-25,0.26,0.28,0,
AMZN,2019-10-24,0.21,0.23,0,
AMZN,2020-01-30,0.32,0.2,1,
AMZN,2020-04-30,0.25,0.31,0,
AMZN,2020-07-30,0.52,0.07,1,
AMZN,2020-10-29,0.62,0.37,1,
AMZN,2021-02-02,0.7,0.36,1,
AMZN,2021-04-29,0.79,0.48,1,
AMZN,2021-07-29,0.76,0.62,1,
AMZN,2021-10-28,0.31,0.45,0,
AMZN,2022-02-03,0.29,0.18,1,
AMZN,2022-04-28,0.37,0.42,0,
AMZN,2022-07-28,0.18,0.14,1,
AMZN,2022-10-27,0.17,0.22,0,
AMZN,2023-02-02,0.25,0.18,1,
AMZN,2023-04-27,0.31,0.21,1,
AMZN,2023-08-03,0.65,0.35,1,
AMZN,2023-10-26,0.94,0.58,1,
AMZN,2024-02-01,1.0,0.8,1,
AMZN,2024-04-30,0.98,0.83,1,147977000000.0
AMZN,2024-08-01,1.26,1.03,1,147977000000.0
AMZN,2024-10-31,1.43,1.14,1,187792000000.0
AMZN,2025-02-06,1.86,1.49,1,155667000000.0
AMZN,2025-05-01,1.59,1.36,1,155667000000.0
