Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AOS,2015-10-21,0.41,0.39,1,
AOS,2016-01-29,0.45,0.42,1,
AOS,2016-04-27,0.42,0.38,1,
AOS,2016-07-26,0.49,0.45,1,
AOS,2016-10-26,0.47,0.45,1,
AOS,2017-02-02,0.47,0.46,1,
AOS,2017-04-27,0.5,0.47,1,
AOS,2017-07-26,0.53,0.53,0,
AOS,2017-10-25,0.54,0.53,1,
AOS,2018-01-30,0.6,0.56,1,
AOS,2018-04-25,0.6,0.58,1,
AOS,2018-07-25,0.66,0.62,1,
AOS,2018-10-30,0.61,0.63,0,
AOS,2019-01-29,0.74,0.71,1,
AOS,2019-04-30,0.53,0.57,0,
AOS,2019-07-30,0.61,0.63,0,
AOS,2019-10-29,0.53,0.53,0,
AOS,2020-01-28,0.56,0.59,0,
AOS,2020-05-05,0.32,0.34,0,
AOS,2020-07-30,0.45,0.42,1,
AOS,2020-10-29,0.66,0.52,1,
AOS,2021-01-28,0.74,0.59,1,
AOS,2021-04-29,0.6,0.57,1,
AOS,2021-07-29,0.73,0.65,1,
AOS,2021-10-28,0.79,0.68,1,
AOS,2022-01-27,0.87,0.77,1,
AOS,2022-04-28,0.77,0.75,1,
AOS,2022-07-28,0.82,0.81,1,
AOS,2022-10-27,0.69,0.69,0,
AOS,2023-01-31,0.86,0.79,1,
AOS,2023-04-27,0.94,0.78,1,
AOS,2023-07-27,1.01,0.91,1,
AOS,2023-10-26,0.9,0.8,1,
AOS,2024-01-30,0.97,0.96,1,
AOS,2024-04-25,1.0,0.98,1,1024300000.0
AOS,2024-07-23,1.06,1.06,0,902600000.0
AOS,2024-10-22,0.82,0.83,0,912400000.0
AOS,2025-01-30,0.85,0.89,0,963900000.0
AOS,2025-04-29,0.95,0.91,1,1011300000.0
