Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
APA,2016-05-05,-0.4,-0.89,1,
APA,2016-08-04,-0.26,-0.15,0,
APA,2016-11-03,-0.03,-0.16,1,
APA,2017-02-23,-0.06,0.07,0,
APA,2017-05-04,0.08,0.13,0,
APA,2017-08-03,-0.21,-0.01,0,
APA,2017-11-02,0.04,-0.06,1,
APA,2018-02-22,0.33,0.22,1,
APA,2018-05-02,0.32,0.3,1,
APA,2018-08-01,0.5,0.39,1,
APA,2018-10-31,0.63,0.47,1,
APA,2019-02-27,0.31,0.24,1,
APA,2019-05-01,0.1,0.12,0,
APA,2019-07-31,0.11,0.06,1,
APA,2019-10-30,-0.29,-0.19,0,
APA,2020-02-26,0.08,-0.06,1,
APA,2020-05-06,-0.13,-0.33,1,
APA,2020-07-29,-0.74,-1.01,1,
APA,2020-11-04,-0.16,-0.35,1,
APA,2021-02-24,-0.05,-0.11,1,
APA,2021-05-05,0.91,0.66,1,
APA,2021-08-04,0.7,0.57,1,
APA,2021-11-03,0.98,0.92,1,
APA,2022-02-21,1.29,1.47,0,
APA,2022-05-04,1.92,2.13,0,
APA,2022-08-03,2.37,2.33,1,
APA,2022-11-02,1.97,1.78,1,
APA,2023-02-22,1.48,1.29,1,
APA,2023-05-03,1.19,1.03,1,
APA,2023-08-02,0.85,0.75,1,
APA,2023-11-01,1.33,1.09,1,
APA,2024-02-21,1.15,1.35,0,
APA,2024-05-01,0.78,0.94,0,
APA,2024-07-31,1.17,0.94,1,2531000000.0
APA,2024-11-06,1.0,1.01,0,2712000000.0
APA,2025-02-26,0.79,0.97,0,2636000000.0
APA,2025-05-07,1.06,0.83,1,2178000000.0
