Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
APD,2015-10-29,1.82,1.8,1,
APD,2016-01-29,1.78,1.71,1,
APD,2016-04-28,1.82,1.81,1,
APD,2016-07-28,1.92,1.91,1,
APD,2016-10-27,2.01,1.98,1,
APD,2017-01-27,1.47,1.48,0,
APD,2017-04-27,1.43,1.38,1,
APD,2017-08-01,1.65,1.59,1,
APD,2017-10-26,1.76,1.68,1,
APD,2018-01-26,1.73,1.65,1,
APD,2018-04-26,1.71,1.68,1,
APD,2018-07-26,1.95,1.84,1,
APD,2018-11-06,2.0,1.99,1,
APD,2019-01-25,1.86,1.87,0,
APD,2019-04-24,1.92,1.87,1,
APD,2019-07-25,2.17,2.15,1,
APD,2019-11-07,2.27,2.29,0,
APD,2020-01-24,2.14,2.08,1,
APD,2020-04-23,2.21,2.06,1,
APD,2020-07-23,2.01,1.99,1,
APD,2020-11-11,2.19,2.21,0,
APD,2021-02-04,2.12,2.19,0,
APD,2021-05-10,2.08,2.12,0,
APD,2021-08-09,2.31,2.37,0,
APD,2021-11-04,2.51,2.49,1,
APD,2022-02-04,2.52,2.51,1,
APD,2022-05-05,2.38,2.35,1,
APD,2022-08-04,2.62,2.61,1,
APD,2022-11-03,2.89,2.76,1,
APD,2023-02-02,2.64,2.7,0,
APD,2023-05-09,2.74,2.65,1,
APD,2023-08-03,2.98,2.91,1,
APD,2023-11-07,3.15,3.12,1,
APD,2024-02-05,2.82,3.0,0,
APD,2024-04-30,2.85,2.69,1,2985500000.0
APD,2024-08-01,3.2,3.03,1,2985500000.0
APD,2024-11-07,3.56,3.48,1,2931500000.0
APD,2025-02-06,2.86,2.85,1,2916200000.0
APD,2025-05-01,2.69,2.83,0,2916200000.0
