Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
APH,2016-07-20,0.33,0.32,1,
APH,2016-10-19,0.37,0.34,1,
APH,2017-01-25,0.38,0.36,1,
APH,2017-04-26,0.36,0.33,1,
APH,2017-07-26,0.41,0.36,1,
APH,2017-10-25,0.44,0.39,1,
APH,2018-01-24,0.47,0.41,1,
APH,2018-04-25,0.42,0.4,1,
APH,2018-07-25,0.45,0.43,1,
APH,2018-10-24,0.5,0.47,1,
APH,2019-01-23,0.53,0.49,1,
APH,2019-04-24,0.45,0.44,1,
APH,2019-07-24,0.46,0.46,0,
APH,2019-10-23,0.48,0.44,1,
APH,2020-01-22,0.49,0.45,1,
APH,2020-04-22,0.36,0.37,0,
APH,2020-07-22,0.41,0.31,1,
APH,2020-10-21,0.55,0.44,1,
APH,2021-01-27,0.56,0.51,1,
APH,2021-04-28,0.52,0.47,1,
APH,2021-07-28,0.61,0.55,1,
APH,2021-10-27,0.65,0.63,1,
APH,2022-01-26,0.7,0.63,1,
APH,2022-04-27,0.67,0.61,1,
APH,2022-07-27,0.75,0.68,1,
APH,2022-10-26,0.8,0.75,1,
APH,2023-01-25,0.78,0.75,1,
APH,2023-04-26,0.69,0.67,1,
APH,2023-07-26,0.72,0.68,1,
APH,2023-10-25,0.78,0.74,1,
APH,2024-01-24,0.82,0.77,1,
APH,2024-04-24,0.8,0.73,1,3609700000.0
APH,2024-07-24,0.44,0.41,1,4038800000.0
APH,2024-10-23,0.5,0.45,1,4317800000.0
APH,2025-01-22,0.55,0.5,1,4811000000.0
APH,2025-04-23,0.63,0.52,1,5650300000.0
