Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
APO,2015-10-28,0.26,-0.11,1,
APO,2016-02-03,0.08,0.26,0,
APO,2016-05-05,-0.18,0.03,0,
APO,2016-08-03,0.98,0.2,1,
APO,2016-10-28,0.58,0.45,1,
APO,2017-02-03,0.98,0.76,1,
APO,2017-04-28,0.82,0.64,1,
APO,2017-08-02,0.46,0.46,0,
APO,2017-11-01,1.07,0.61,1,
APO,2018-01-31,1.22,0.66,1,
APO,2018-05-03,-0.3,-0.15,0,
APO,2018-08-02,0.27,0.54,0,
APO,2018-10-31,0.83,0.92,0,
APO,2019-01-31,-1.01,-0.82,0,
APO,2019-05-02,0.5,0.56,0,
APO,2019-07-31,0.56,0.57,0,
APO,2019-11-01,0.54,0.56,0,
APO,2020-01-30,1.1,0.73,1,
APO,2020-05-01,0.37,0.48,0,
APO,2020-07-30,0.46,0.48,0,
APO,2020-10-29,0.47,0.49,0,
APO,2021-02-03,0.72,0.5,1,
APO,2021-05-04,0.66,0.57,1,
APO,2021-08-04,1.14,0.71,1,
APO,2021-11-02,1.71,1.1,1,
APO,2022-02-11,1.05,1.09,0,
APO,2022-05-05,1.28,1.03,1,
APO,2022-08-04,0.94,1.02,0,
APO,2022-11-02,1.33,1.23,1,
APO,2023-02-09,1.42,1.5,0,
APO,2023-05-09,1.42,1.47,0,
APO,2023-08-03,1.7,1.65,1,
APO,2023-11-01,1.71,1.77,0,
APO,2024-02-08,1.91,1.72,1,
APO,2024-05-02,1.72,1.78,0,6018000000.0
APO,2024-08-01,1.64,1.76,0,6018000000.0
APO,2024-11-05,1.85,1.72,1,5283000000.0
APO,2025-02-04,2.22,1.89,1,5548000000.0
APO,2025-05-02,1.82,1.87,0,6814000000.0
