Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ARE,2016-05-02,-0.05,0.38,0,
ARE,2016-08-01,-1.72,-0.29,0,
ARE,2016-10-31,0.11,0.39,0,
ARE,2017-01-30,-0.31,0.26,0,
ARE,2017-05-01,0.29,0.38,0,
ARE,2017-07-31,0.35,0.43,0,
ARE,2017-10-30,0.55,0.42,1,
ARE,2018-01-29,0.38,0.4,0,
ARE,2018-04-30,1.32,0.51,1,
ARE,2018-07-30,0.57,0.53,1,
ARE,2018-10-29,1.99,0.49,1,
ARE,2019-02-04,-0.3,0.52,0,
ARE,2019-04-29,1.11,0.41,1,
ARE,2019-07-29,0.68,0.52,1,
ARE,2019-10-28,-0.44,0.43,0,
ARE,2020-02-03,1.74,0.59,1,
ARE,2020-04-27,0.2,0.66,0,
ARE,2020-07-27,1.82,0.53,1,
ARE,2020-10-26,0.63,0.61,1,
ARE,2021-01-25,3.8,0.65,1,
ARE,2021-04-26,0.04,0.58,0,
ARE,2021-07-26,2.61,0.63,1,
ARE,2021-10-25,0.67,0.62,1,
ARE,2022-01-31,0.47,0.65,0,
ARE,2022-04-25,-0.96,0.75,0,
ARE,2022-07-25,1.67,0.66,1,
ARE,2022-10-24,2.11,0.68,1,
ARE,2023-01-30,0.31,0.69,0,
ARE,2023-04-24,0.44,0.78,0,
ARE,2023-07-24,0.51,0.64,0,
ARE,2023-10-23,0.13,1.14,0,
ARE,2024-01-29,-0.54,0.56,0,
ARE,2024-04-22,0.97,0.81,1,755162000.0
ARE,2024-07-22,0.25,0.8,0,775744000.0
ARE,2024-10-21,0.96,0.9,1,763249000.0
ARE,2025-01-27,-0.38,0.92,0,743175000.0
ARE,2025-04-28,-0.07,0.67,0,737279000.0
