Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ATO,2016-05-04,1.4,1.4,0,
ATO,2016-08-03,0.67,0.59,1,
ATO,2016-11-09,0.39,0.32,1,
ATO,2017-02-07,1.08,1.04,1,
ATO,2017-05-03,1.52,1.42,1,
ATO,2017-08-02,0.67,0.66,1,
ATO,2017-11-08,0.34,0.34,0,
ATO,2018-02-06,1.4,1.13,1,
ATO,2018-05-02,1.57,1.54,1,
ATO,2018-08-08,0.64,0.67,0,
ATO,2018-11-07,0.41,0.36,1,
ATO,2019-02-05,1.38,1.33,1,
ATO,2019-05-07,1.82,1.69,1,
ATO,2019-08-07,0.68,0.68,0,
ATO,2019-11-06,0.49,0.46,1,
ATO,2020-02-04,1.47,1.49,0,
ATO,2020-05-06,1.95,1.92,1,
ATO,2020-08-05,0.79,0.76,1,
ATO,2020-11-11,0.53,0.51,1,
ATO,2021-02-02,1.71,1.58,1,
ATO,2021-05-05,2.3,2.05,1,
ATO,2021-08-04,0.78,0.72,1,
ATO,2021-11-10,0.37,0.34,1,
ATO,2022-02-08,1.86,1.85,1,
ATO,2022-05-04,2.37,2.35,1,
ATO,2022-08-03,0.92,0.85,1,
ATO,2022-11-09,0.51,0.43,1,
ATO,2023-02-07,1.91,1.93,0,
ATO,2023-05-03,2.48,2.46,1,
ATO,2023-08-02,0.94,0.99,0,
ATO,2023-11-08,0.8,0.72,1,
ATO,2024-02-06,2.08,2.05,1,
ATO,2024-05-08,2.85,2.61,1,701549000.0
ATO,2024-08-07,1.08,1.05,1,657944000.0
ATO,2024-11-18,0.83,0.8,1,1175999000.0
ATO,2025-02-04,2.23,2.19,1,1950502000.0
ATO,2025-05-07,3.03,2.87,1,838774000.0
