Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
AVY,2015-10-29,0.87,0.84,1,
AVY,2016-02-03,0.85,0.78,1,
AVY,2016-04-27,0.94,0.86,1,
AVY,2016-07-26,1.09,1.01,1,
AVY,2016-10-26,1.01,1.0,1,
AVY,2017-02-01,0.99,0.93,1,
AVY,2017-04-26,1.11,1.04,1,
AVY,2017-07-25,1.31,1.21,1,
AVY,2017-10-25,1.26,1.21,1,
AVY,2018-01-31,1.33,1.25,1,
AVY,2018-04-25,1.44,1.36,1,
AVY,2018-07-24,1.66,1.55,1,
AVY,2018-10-23,1.45,1.47,0,
AVY,2019-01-30,1.52,1.5,1,
AVY,2019-04-24,1.48,1.46,1,
AVY,2019-07-23,1.72,1.68,1,
AVY,2019-10-23,1.66,1.61,1,
AVY,2020-01-29,1.73,1.69,1,
AVY,2020-04-29,1.66,1.5,1,
AVY,2020-07-27,1.27,1.13,1,
AVY,2020-10-21,1.91,1.53,1,
AVY,2021-02-03,2.27,2.09,1,
AVY,2021-04-28,2.4,2.03,1,
AVY,2021-07-28,2.25,2.06,1,
AVY,2021-10-27,2.14,2.04,1,
AVY,2022-02-02,2.13,2.12,1,
AVY,2022-04-26,2.4,2.17,1,
AVY,2022-07-27,2.64,2.36,1,
AVY,2022-10-26,2.46,2.46,0,
AVY,2023-02-02,1.65,2.02,0,
AVY,2023-04-26,1.7,1.66,1,
AVY,2023-07-25,1.92,1.99,0,
AVY,2023-10-25,2.1,2.1,0,
AVY,2024-01-31,2.61,2.17,1,
AVY,2024-04-24,2.29,2.15,1,2235300000.0
AVY,2024-07-23,2.42,2.26,1,2183400000.0
AVY,2024-10-23,2.33,2.32,1,2185700000.0
AVY,2025-01-30,2.38,2.38,0,2148300000.0
AVY,2025-04-23,2.3,2.32,0,2220500000.0
