Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
BAC,2017-04-18,0.41,0.35,1,
BAC,2017-07-18,0.46,0.43,1,
BAC,2017-10-13,0.48,0.45,1,
BAC,2018-01-17,0.48,0.44,1,
BAC,2018-04-16,0.62,0.59,1,
BAC,2018-07-16,0.64,0.57,1,
BAC,2018-10-15,0.67,0.62,1,
BAC,2019-01-16,0.7,0.63,1,
BAC,2019-04-16,0.71,0.66,1,
BAC,2019-07-17,0.75,0.71,1,
BAC,2019-10-16,0.56,0.51,1,
BAC,2020-01-15,0.75,0.68,1,
BAC,2020-04-15,0.37,0.46,0,
BAC,2020-07-16,0.37,0.27,1,
BAC,2020-10-14,0.51,0.49,1,
BAC,2021-01-19,0.59,0.55,1,
BAC,2021-04-15,0.86,0.66,1,
BAC,2021-07-14,0.8,0.77,1,
BAC,2021-10-14,0.85,0.71,1,
BAC,2022-01-19,0.82,0.76,1,
BAC,2022-04-18,0.8,0.75,1,
BAC,2022-07-18,0.78,0.75,1,
BAC,2022-10-17,0.81,0.77,1,
BAC,2023-01-13,0.85,0.77,1,
BAC,2023-04-18,0.94,0.82,1,
BAC,2023-07-18,0.88,0.84,1,
BAC,2023-10-17,0.9,0.82,1,
BAC,2024-01-12,0.7,0.68,1,
BAC,2024-04-16,0.83,0.76,1,25377000000.0
BAC,2024-07-16,0.83,0.8,1,25345000000.0
BAC,2024-10-15,0.81,0.77,1,25347000000.0
BAC,2025-01-16,0.82,0.77,1,27366000000.0
BAC,2025-04-15,0.9,0.82,1,26463000000.0
