Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
BAX,2015-10-27,0.41,0.29,1,
BAX,2016-02-02,0.43,0.32,1,
BAX,2016-04-26,0.36,0.29,1,
BAX,2016-07-26,0.46,0.4,1,
BAX,2016-10-25,0.56,0.45,1,
BAX,2017-02-01,0.57,0.52,1,
BAX,2017-04-26,0.58,0.52,1,
BAX,2017-07-26,0.63,0.57,1,
BAX,2017-10-25,0.64,0.59,1,
BAX,2018-02-01,0.64,0.59,1,
BAX,2018-04-26,0.7,0.62,1,
BAX,2018-07-26,0.77,0.71,1,
BAX,2018-10-31,0.8,0.74,1,
BAX,2019-01-31,0.78,0.73,1,
BAX,2019-04-25,0.76,0.68,1,
BAX,2019-07-25,0.89,0.81,1,
BAX,2019-10-24,0.74,0.84,0,
BAX,2020-03-17,0.97,0.88,1,
BAX,2020-04-30,0.82,0.72,1,
BAX,2020-07-30,0.64,0.71,0,
BAX,2020-10-29,0.83,0.73,1,
BAX,2021-02-04,0.8,0.76,1,
BAX,2021-04-29,0.76,0.65,1,
BAX,2021-07-29,0.8,0.75,1,
BAX,2021-10-28,1.02,0.94,1,
BAX,2022-02-17,1.04,1.03,1,
BAX,2022-04-28,0.93,0.8,1,
BAX,2022-07-28,0.87,0.87,0,
BAX,2022-10-27,0.82,0.82,0,
BAX,2023-02-09,0.88,0.94,0,
BAX,2023-04-27,0.59,0.49,1,
BAX,2023-07-27,0.55,0.61,0,
BAX,2023-11-02,0.68,0.67,1,
BAX,2024-02-08,0.88,0.86,1,
BAX,2024-05-02,0.65,0.61,1,2694000000.0
BAX,2024-08-06,0.68,0.66,1,2699000000.0
BAX,2024-11-08,0.8,0.78,1,2753000000.0
BAX,2025-02-20,0.58,0.52,1,2625000000.0
BAX,2025-05-01,0.55,0.48,1,2625000000.0
