Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
BBY,2015-11-19,0.41,0.35,1,
BBY,2016-02-25,1.53,1.39,1,
BBY,2016-05-24,0.44,0.35,1,
BBY,2016-08-23,0.57,0.43,1,
BBY,2016-11-17,0.62,0.47,1,
BBY,2017-03-01,1.95,1.67,1,
BBY,2017-05-25,0.57,0.4,1,
BBY,2017-08-29,0.69,0.63,1,
BBY,2017-11-16,0.78,0.78,0,
BBY,2018-03-01,2.42,2.04,1,
BBY,2018-05-24,0.82,0.74,1,
BBY,2018-08-28,0.91,0.83,1,
BBY,2018-11-20,0.93,0.85,1,
BBY,2019-02-27,2.72,2.57,1,
BBY,2019-05-23,1.02,0.86,1,
BBY,2019-08-29,1.08,0.99,1,
BBY,2019-11-26,1.13,1.03,1,
BBY,2020-02-27,2.9,2.75,1,
BBY,2020-05-21,0.67,0.5,1,
BBY,2020-08-25,1.71,1.08,1,
BBY,2020-11-24,2.06,1.7,1,
BBY,2021-02-25,3.48,3.45,1,
BBY,2021-05-27,2.23,1.39,1,
BBY,2021-08-24,2.98,1.85,1,
BBY,2021-11-23,2.08,1.91,1,
BBY,2022-03-03,2.73,2.73,0,
BBY,2022-05-24,1.57,1.61,0,
BBY,2022-08-30,1.54,1.27,1,
BBY,2022-11-22,1.38,1.03,1,
BBY,2023-03-02,2.61,2.11,1,
BBY,2023-05-25,1.15,1.11,1,
BBY,2023-08-29,1.22,1.06,1,
BBY,2023-11-21,1.29,1.18,1,
BBY,2024-02-29,2.72,2.52,1,
BBY,2024-05-30,1.2,1.08,1,
BBY,2024-08-29,1.34,1.16,1,
BBY,2024-11-26,1.26,1.29,0,
BBY,2025-03-04,2.58,2.4,1,
BBY,2025-05-29,1.15,1.09,1,
