Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
BDX,2016-05-05,2.18,2.02,1,
BDX,2016-08-04,2.35,2.2,1,
BDX,2016-11-03,2.12,2.08,1,
BDX,2017-02-02,2.33,2.12,1,
BDX,2017-05-02,2.3,2.23,1,
BDX,2017-08-03,2.46,2.44,1,
BDX,2017-11-02,2.4,2.37,1,
BDX,2018-02-06,2.48,2.41,1,
BDX,2018-05-03,2.65,2.63,1,
BDX,2018-08-02,2.91,2.86,1,
BDX,2018-11-06,2.93,2.93,0,
BDX,2019-02-05,2.7,2.61,1,
BDX,2019-05-09,2.59,2.58,1,
BDX,2019-08-06,3.08,3.05,1,
BDX,2019-11-05,3.31,3.3,1,
BDX,2020-02-06,2.65,2.63,1,
BDX,2020-05-07,2.55,2.32,1,
BDX,2020-08-06,2.2,2.04,1,
BDX,2020-11-05,2.79,2.52,1,
BDX,2021-02-04,4.55,3.11,1,
BDX,2021-05-06,3.19,3.04,1,
BDX,2021-08-05,2.74,2.44,1,
BDX,2021-11-04,2.59,2.46,1,
BDX,2022-02-03,3.64,2.85,1,
BDX,2022-05-05,3.18,2.99,1,
BDX,2022-08-04,2.66,2.5,1,
BDX,2022-11-10,2.75,2.74,1,
BDX,2023-02-02,2.98,2.68,1,
BDX,2023-05-04,2.86,2.74,1,
BDX,2023-08-03,2.96,2.91,1,
BDX,2023-11-09,3.42,3.43,0,
BDX,2024-02-01,2.68,2.4,1,
BDX,2024-05-02,3.17,2.97,1,4990000000.0
BDX,2024-08-01,3.5,3.31,1,4990000000.0
BDX,2024-11-07,3.81,3.77,1,5168000000.0
BDX,2025-02-05,3.43,2.98,1,5272000000.0
BDX,2025-05-01,3.35,3.28,1,5272000000.0
