Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
BEN,2015-10-22,0.59,0.77,0,
BEN,2016-02-03,0.74,0.75,0,
BEN,2016-04-27,0.61,0.63,0,
BEN,2016-07-28,0.77,0.67,1,
BEN,2016-10-26,0.82,0.69,1,
BEN,2017-01-27,0.77,0.68,1,
BEN,2017-04-28,0.74,0.67,1,
BEN,2017-07-28,0.73,0.72,1,
BEN,2017-10-26,0.76,0.72,1,
BEN,2018-01-30,0.88,0.76,1,
BEN,2018-04-26,0.78,0.75,1,
BEN,2018-07-27,0.75,0.75,0,
BEN,2018-10-25,1.13,0.74,1,
BEN,2019-01-30,0.54,0.65,0,
BEN,2019-04-26,0.72,0.62,1,
BEN,2019-07-30,0.65,0.62,1,
BEN,2019-10-25,0.61,0.64,0,
BEN,2020-01-30,0.7,0.66,1,
BEN,2020-04-30,0.16,0.42,0,
BEN,2020-07-28,0.58,0.55,1,
BEN,2020-10-27,0.56,0.69,0,
BEN,2021-02-02,0.73,0.72,1,
BEN,2021-05-04,0.79,0.74,1,
BEN,2021-08-03,0.96,0.77,1,
BEN,2021-11-01,1.26,0.86,1,
BEN,2022-02-01,1.08,0.89,1,
BEN,2022-05-03,0.96,0.82,1,
BEN,2022-07-28,0.82,0.73,1,
BEN,2022-11-01,0.78,0.67,1,
BEN,2023-01-30,0.51,0.54,0,
BEN,2023-05-01,0.61,0.56,1,
BEN,2023-07-28,0.63,0.6,1,
BEN,2023-10-31,0.84,0.59,1,
BEN,2024-01-29,0.65,0.57,1,
BEN,2024-04-29,0.56,0.57,0,2122900000.0
BEN,2024-07-26,0.6,0.57,1,2211200000.0
BEN,2024-11-04,0.59,0.6,0,2251600000.0
BEN,2025-01-31,0.59,0.53,1,2111400000.0
BEN,2025-05-02,0.47,0.48,0,2064000000.0
