Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
BG,2015-07-30,0.51,1.36,0,
BG,2015-10-29,1.24,1.56,0,
BG,2016-02-11,1.49,1.56,0,
BG,2016-04-28,1.41,0.73,1,
BG,2016-07-28,0.79,0.38,1,
BG,2016-11-02,0.73,0.81,0,
BG,2017-02-15,1.7,1.57,1,
BG,2017-05-03,0.52,0.7,0,
BG,2017-08-02,0.17,0.17,0,
BG,2017-11-01,0.75,0.73,1,
BG,2018-02-14,0.67,1.37,0,
BG,2018-05-02,-0.06,-0.18,1,
BG,2018-08-01,0.1,1.04,0,
BG,2018-10-31,2.52,2.39,1,
BG,2019-02-21,0.08,0.2,0,
BG,2019-05-08,0.36,-0.03,1,
BG,2019-07-31,0.61,0.34,1,
BG,2019-10-30,1.41,0.48,1,
BG,2020-02-12,1.27,0.32,1,
BG,2020-05-06,-1.34,0.67,0,
BG,2020-07-29,3.88,1.32,1,
BG,2020-10-28,2.47,0.2,1,
BG,2021-02-10,3.05,1.82,1,
BG,2021-05-04,3.13,1.54,1,
BG,2021-07-28,2.61,1.6,1,
BG,2021-10-27,3.72,1.42,1,
BG,2022-02-09,3.49,2.87,1,
BG,2022-04-27,4.26,2.94,1,
BG,2022-07-27,2.97,3.26,0,
BG,2022-10-26,3.45,2.49,1,
BG,2023-02-08,3.24,3.22,1,
BG,2023-05-03,3.26,3.24,1,
BG,2023-08-02,3.72,2.69,1,
BG,2023-10-26,2.99,2.5,1,
BG,2024-02-07,3.7,2.81,1,
BG,2024-04-24,3.04,2.53,1,13241000000.0
BG,2024-07-31,1.73,1.8,0,12908000000.0
BG,2024-10-30,2.29,2.15,1,13542000000.0
BG,2025-02-05,2.13,2.24,0,11643000000.0
BG,2025-05-07,1.81,1.3,1,12769000000.0
