Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
BKNG,2015-11-09,25.35,24.23,1,
BKNG,2016-02-17,12.63,11.8,1,
BKNG,2016-05-04,10.54,9.65,1,
BKNG,2016-08-04,13.93,12.69,1,
BKNG,2016-11-07,31.18,29.91,1,
BKNG,2017-02-27,14.21,13.01,1,
BKNG,2017-05-09,9.88,8.89,1,
BKNG,2017-08-08,15.14,14.2,1,
BKNG,2017-11-06,35.22,34.25,1,
BKNG,2018-02-27,16.86,14.12,1,
BKNG,2018-05-09,12.0,10.7,1,
BKNG,2018-08-09,20.67,17.34,1,
BKNG,2018-11-05,37.78,38.21,0,
BKNG,2019-02-27,22.49,19.42,1,
BKNG,2019-05-09,11.17,11.27,0,
BKNG,2019-08-07,23.59,22.71,1,
BKNG,2019-11-07,45.36,44.57,1,
BKNG,2020-02-26,23.3,22.04,1,
BKNG,2020-05-07,3.77,5.64,0,
BKNG,2020-08-06,-10.81,-10.29,0,
BKNG,2020-11-05,12.27,14.13,0,
BKNG,2021-02-24,-0.57,-4.28,1,
BKNG,2021-05-05,-5.26,-5.87,1,
BKNG,2021-08-04,-2.55,-2.04,0,
BKNG,2021-11-03,37.7,32.9,1,
BKNG,2022-02-23,15.83,13.68,1,
BKNG,2022-05-04,3.9,0.9,1,
BKNG,2022-08-03,19.08,17.48,1,
BKNG,2022-11-02,53.03,49.92,1,
BKNG,2023-02-23,24.74,22.23,1,
BKNG,2023-05-04,11.6,10.61,1,
BKNG,2023-08-03,37.62,28.9,1,
BKNG,2023-11-02,72.32,67.61,1,
BKNG,2024-02-22,32.0,29.86,1,
BKNG,2024-05-02,20.39,14.09,1,5859000000.0
BKNG,2024-08-01,41.9,38.37,1,5859000000.0
BKNG,2024-10-30,83.89,77.52,1,5471000000.0
BKNG,2025-02-20,41.55,36.03,1,4762000000.0
BKNG,2025-04-29,24.81,17.33,1,6798000000.0
