Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CARR,2020-05-08,0.35,0.33,1,
CARR,2020-07-30,0.33,0.25,1,
CARR,2020-10-29,0.67,0.46,1,
CARR,2021-02-09,0.31,0.36,0,
CARR,2021-04-29,0.48,0.37,1,
CARR,2021-07-29,0.64,0.55,1,
CARR,2021-10-28,0.71,0.66,1,
CARR,2022-02-08,0.44,0.39,1,
CARR,2022-04-28,0.54,0.47,1,
CARR,2022-07-28,0.69,0.62,1,
CARR,2022-10-27,0.7,0.65,1,
CARR,2023-02-07,0.4,0.4,0,
CARR,2023-04-25,0.52,0.48,1,
CARR,2023-07-27,0.79,0.77,1,
CARR,2023-10-26,0.89,0.79,1,
CARR,2024-02-06,0.53,0.51,1,
CARR,2024-04-25,0.62,0.51,1,5934000000.0
CARR,2024-07-25,0.87,0.84,1,5984000000.0
CARR,2024-10-24,0.77,0.82,0,5148000000.0
CARR,2025-02-11,0.54,0.5,1,5218000000.0
CARR,2025-05-01,0.65,0.58,1,5218000000.0
