Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CAT,2015-10-22,0.75,0.78,0,
CAT,2016-01-28,0.74,0.69,1,
CAT,2016-04-22,0.67,0.68,0,
CAT,2016-07-26,1.09,0.96,1,
CAT,2016-10-25,0.85,0.76,1,
CAT,2017-01-26,0.83,0.66,1,
CAT,2017-04-25,1.28,0.62,1,
CAT,2017-07-25,1.49,1.26,1,
CAT,2017-10-24,1.95,1.27,1,
CAT,2018-01-25,2.16,1.79,1,
CAT,2018-04-24,2.82,2.13,1,
CAT,2018-07-30,2.97,2.73,1,
CAT,2018-10-23,2.86,2.85,1,
CAT,2019-01-28,2.55,2.99,0,
CAT,2019-04-24,2.94,2.85,1,
CAT,2019-07-24,2.83,3.12,0,
CAT,2019-10-23,2.66,2.88,0,
CAT,2020-01-31,2.63,2.37,1,
CAT,2020-04-28,1.6,1.69,0,
CAT,2020-07-31,1.03,0.64,1,
CAT,2020-10-27,1.34,1.18,1,
CAT,2021-01-29,2.12,1.49,1,
CAT,2021-04-29,2.87,1.94,1,
CAT,2021-07-30,2.6,2.4,1,
CAT,2021-10-28,2.66,2.2,1,
CAT,2022-01-28,2.69,2.26,1,
CAT,2022-04-28,2.88,2.6,1,
CAT,2022-08-02,3.18,3.01,1,
CAT,2022-10-27,3.95,3.16,1,
CAT,2023-01-31,4.27,4.02,1,
CAT,2023-04-27,4.91,3.78,1,
CAT,2023-08-01,5.55,4.58,1,
CAT,2023-10-31,5.52,4.79,1,
CAT,2024-02-05,5.23,4.75,1,
CAT,2024-04-25,5.6,5.14,1,16689000000.0
CAT,2024-08-06,5.99,5.54,1,16106000000.0
CAT,2024-10-30,5.17,5.34,0,16215000000.0
CAT,2025-01-30,5.14,5.02,1,14249000000.0
CAT,2025-04-30,4.25,4.35,0,16569000000.0
