Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CBOE,2015-10-30,0.76,0.73,1,
CBOE,2016-02-03,0.59,0.55,1,
CBOE,2016-04-29,0.61,0.62,0,
CBOE,2016-07-29,0.6,0.6,0,
CBOE,2016-10-28,0.58,0.56,1,
CBOE,2017-02-06,0.63,0.6,1,
CBOE,2017-05-09,0.78,0.69,1,
CBOE,2017-08-04,0.87,0.86,1,
CBOE,2017-11-07,0.89,0.88,1,
CBOE,2018-02-09,0.87,0.88,0,
CBOE,2018-05-04,1.38,1.28,1,
CBOE,2018-08-03,1.05,1.03,1,
CBOE,2018-11-02,1.06,1.02,1,
CBOE,2019-02-08,1.54,1.37,1,
CBOE,2019-05-03,1.11,1.0,1,
CBOE,2019-08-02,1.13,1.07,1,
CBOE,2019-11-01,1.29,1.15,1,
CBOE,2020-02-07,1.21,1.11,1,
CBOE,2020-05-01,1.65,1.54,1,
CBOE,2020-07-31,1.31,1.23,1,
CBOE,2020-10-30,1.11,1.06,1,
CBOE,2021-02-05,1.21,1.23,0,
CBOE,2021-04-30,1.53,1.4,1,
CBOE,2021-07-30,1.38,1.36,1,
CBOE,2021-10-29,1.45,1.44,1,
CBOE,2022-02-04,1.7,1.53,1,
CBOE,2022-04-29,1.73,1.68,1,
CBOE,2022-07-29,1.67,1.69,0,
CBOE,2022-11-04,1.74,1.63,1,
CBOE,2023-02-03,1.8,1.76,1,
CBOE,2023-05-05,1.9,1.87,1,
CBOE,2023-08-04,1.78,1.77,1,
CBOE,2023-11-03,2.06,1.86,1,
CBOE,2024-02-02,2.06,2.03,1,
CBOE,2024-05-03,2.15,2.04,1,974000000.0
CBOE,2024-08-02,2.15,2.1,1,1055700000.0
CBOE,2024-11-01,2.22,2.19,1,1055700000.0
CBOE,2025-02-07,2.1,2.11,0,1195000000.0
CBOE,2025-05-02,2.5,2.36,1,1173500000.0
