Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CBRE,2015-10-27,0.51,0.46,1,
CBRE,2016-02-03,0.81,0.78,1,
CBRE,2016-04-28,0.36,0.35,1,
CBRE,2016-07-28,0.52,0.51,1,
CBRE,2016-10-27,0.5,0.5,0,
CBRE,2017-02-10,0.93,0.8,1,
CBRE,2017-04-27,0.43,0.33,1,
CBRE,2017-07-27,0.65,0.53,1,
CBRE,2017-11-03,0.64,0.54,1,
CBRE,2018-02-08,0.99,0.93,1,
CBRE,2018-05-02,0.54,0.49,1,
CBRE,2018-08-02,0.74,0.71,1,
CBRE,2018-11-01,0.79,0.75,1,
CBRE,2019-02-13,1.21,1.13,1,
CBRE,2019-05-08,0.79,0.62,1,
CBRE,2019-08-01,0.81,0.77,1,
CBRE,2019-11-06,0.79,0.78,1,
CBRE,2020-02-27,1.32,1.35,0,
CBRE,2020-05-07,0.75,0.72,1,
CBRE,2020-07-31,0.35,0.42,0,
CBRE,2020-10-29,0.73,0.42,1,
CBRE,2021-02-23,1.45,0.94,1,
CBRE,2021-04-29,0.86,0.67,1,
CBRE,2021-07-29,1.36,0.77,1,
CBRE,2021-10-28,1.39,1.19,1,
CBRE,2022-02-24,1.8,1.78,1,
CBRE,2022-05-05,1.39,1.08,1,
CBRE,2022-08-04,1.83,1.4,1,
CBRE,2022-10-27,1.13,1.26,0,
CBRE,2023-02-23,1.33,1.18,1,
CBRE,2023-04-27,0.92,0.86,1,
CBRE,2023-07-27,0.82,0.76,1,
CBRE,2023-10-27,0.72,0.67,1,
CBRE,2024-02-15,1.38,1.18,1,
CBRE,2024-05-03,0.78,0.68,1,8391000000.0
CBRE,2024-07-25,0.81,0.76,1,9036000000.0
CBRE,2024-10-24,1.2,1.06,1,10404000000.0
CBRE,2025-02-13,2.32,2.22,1,8910000000.0
CBRE,2025-04-24,0.86,0.76,1,9754000000.0
