Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CB,2016-01-26,2.38,2.26,1,
CB,2016-05-04,2.26,2.16,1,
CB,2016-07-26,2.25,2.22,1,
CB,2016-10-25,2.88,2.58,1,
CB,2017-01-31,2.56,2.42,1,
CB,2017-04-25,2.48,2.41,1,
CB,2017-07-25,2.5,2.47,1,
CB,2017-10-26,-0.13,-0.24,1,
CB,2018-01-30,2.28,2.29,0,
CB,2018-04-24,2.34,2.26,1,
CB,2018-07-24,2.68,2.62,1,
CB,2018-10-23,2.41,2.36,1,
CB,2019-02-05,2.02,1.97,1,
CB,2019-04-30,2.54,2.56,0,
CB,2019-07-23,2.6,2.56,1,
CB,2019-10-29,2.7,2.61,1,
CB,2020-02-04,2.28,2.12,1,
CB,2020-04-21,2.68,2.57,1,
CB,2020-07-28,-0.56,-0.66,1,
CB,2020-10-27,2.0,2.19,0,
CB,2021-02-02,3.18,2.82,1,
CB,2021-04-27,2.52,2.49,1,
CB,2021-07-27,3.62,3.01,1,
CB,2021-10-26,2.64,2.16,1,
CB,2022-02-01,3.81,3.29,1,
CB,2022-04-26,3.82,3.48,1,
CB,2022-07-26,4.2,3.62,1,
CB,2022-10-25,3.17,2.59,1,
CB,2023-01-31,4.05,4.25,0,
CB,2023-04-25,4.41,4.45,0,
CB,2023-07-25,4.92,4.41,1,
CB,2023-10-24,4.95,4.44,1,
CB,2024-01-30,5.54,5.12,1,
CB,2024-04-23,5.41,5.31,1,13932000000.0
CB,2024-07-23,5.38,5.15,1,15102000000.0
CB,2024-10-29,5.72,4.98,1,14180000000.0
CB,2025-01-28,6.02,5.44,1,13480000000.0
CB,2025-04-22,3.68,3.18,1,14898000000.0
