Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CCL,2015-12-18,0.5,0.41,1,
CCL,2016-03-30,0.39,0.32,1,
CCL,2016-06-28,0.49,0.39,1,
CCL,2016-09-26,1.92,1.89,1,
CCL,2016-12-20,0.67,0.58,1,
CCL,2017-03-28,0.38,0.35,1,
CCL,2017-06-22,0.52,0.47,1,
CCL,2017-09-26,2.29,2.2,1,
CCL,2017-12-19,0.63,0.51,1,
CCL,2018-03-22,0.52,0.43,1,
CCL,2018-06-25,0.68,0.6,1,
CCL,2018-09-27,2.36,2.32,1,
CCL,2018-12-20,0.7,0.69,1,
CCL,2019-03-26,0.49,0.44,1,
CCL,2019-06-20,0.66,0.61,1,
CCL,2019-09-26,2.63,2.53,1,
CCL,2019-12-20,0.62,0.5,1,
CCL,2020-03-19,0.22,0.27,0,
CCL,2020-07-10,-3.3,-2.26,0,
CCL,2020-10-08,-2.19,-2.2,1,
CCL,2021-01-26,-2.02,-1.94,0,
CCL,2021-04-07,-1.79,-1.54,0,
CCL,2021-06-24,-1.8,-1.6,0,
CCL,2021-09-24,-1.75,-1.48,0,
CCL,2021-12-20,-1.72,-1.43,0,
CCL,2022-03-22,-1.66,-1.26,0,
CCL,2022-06-24,-1.64,-1.17,0,
CCL,2022-09-30,-0.58,-0.15,0,
CCL,2022-12-21,-0.85,-0.87,1,
CCL,2023-03-27,-0.55,-0.6,1,
CCL,2023-06-26,-0.31,-0.34,1,
CCL,2023-09-29,0.86,0.75,1,
CCL,2023-12-21,-0.07,-0.13,1,
CCL,2024-03-27,-0.14,-0.18,1,
CCL,2024-06-25,0.11,-0.02,1,
CCL,2024-09-30,1.27,1.16,1,
CCL,2024-12-20,0.14,0.08,1,
CCL,2025-03-21,0.13,0.02,1,
CCL,2025-06-24,0.35,0.24,1,
