Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CEG,2022-02-25,0.13,1.19,0,
CEG,2022-05-12,0.32,0.7,0,
CEG,2022-08-04,-0.34,0.54,0,
CEG,2022-11-08,-0.57,0.71,0,
CEG,2023-02-16,0.1,1.24,0,
CEG,2023-05-04,0.29,0.88,0,
CEG,2023-08-03,2.56,0.73,1,
CEG,2023-11-06,2.26,1.42,1,
CEG,2024-02-27,-0.11,1.92,0,
CEG,2024-05-09,2.78,1.38,1,5475000000.0
CEG,2024-08-06,2.58,1.72,1,6550000000.0
CEG,2024-11-04,3.82,2.64,1,5382000000.0
CEG,2025-02-18,2.71,2.15,1,6788000000.0
CEG,2025-05-06,0.38,2.22,0,6101000000.0
