Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CF,2016-11-02,0.13,-0.03,1,
CF,2017-02-15,-0.39,-0.05,0,
CF,2017-05-03,0.05,0.02,1,
CF,2017-08-02,0.1,-0.04,1,
CF,2017-11-01,-0.39,-0.54,1,
CF,2018-02-14,-0.02,-0.08,1,
CF,2018-05-02,0.24,0.26,0,
CF,2018-08-01,0.63,0.45,1,
CF,2018-10-31,0.13,0.14,0,
CF,2019-02-13,0.21,0.45,0,
CF,2019-05-01,0.27,0.35,0,
CF,2019-07-31,1.12,0.86,1,
CF,2019-10-30,0.37,0.35,1,
CF,2020-02-12,0.33,0.26,1,
CF,2020-05-06,0.31,0.25,1,
CF,2020-08-05,0.89,0.65,1,
CF,2020-11-04,-0.09,0.07,0,
CF,2021-02-17,0.4,0.11,1,
CF,2021-05-05,0.73,0.6,1,
CF,2021-08-09,1.15,1.57,0,
CF,2021-11-03,-0.86,0.99,0,
CF,2022-02-15,3.27,3.55,0,
CF,2022-05-04,4.21,4.35,0,
CF,2022-08-01,6.19,6.03,1,
CF,2022-11-02,2.27,3.33,0,
CF,2023-02-15,4.28,4.3,0,
CF,2023-05-01,2.9,2.52,1,
CF,2023-08-02,2.71,2.25,1,
CF,2023-11-01,1.14,1.03,1,
CF,2024-02-14,1.58,1.57,1,
CF,2024-05-01,0.9,1.52,0,
CF,2024-08-07,2.3,1.84,1,1370000000.0
CF,2024-10-30,1.34,1.18,1,1524000000.0
CF,2025-02-19,1.79,1.53,1,1663000000.0
CF,2025-05-07,1.98,1.5,1,1890000000.0
