Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CHRW,2015-10-27,0.96,0.94,1,
CHRW,2016-02-02,0.88,0.87,1,
CHRW,2016-04-26,0.83,0.82,1,
CHRW,2016-07-26,1.0,1.0,0,
CHRW,2016-10-25,0.9,0.96,0,
CHRW,2017-01-31,0.86,0.84,1,
CHRW,2017-04-25,0.86,0.81,1,
CHRW,2017-07-19,0.78,0.9,0,
CHRW,2017-10-31,0.85,0.82,1,
CHRW,2018-01-30,0.86,0.84,1,
CHRW,2018-05-01,1.01,1.0,1,
CHRW,2018-07-31,1.13,1.06,1,
CHRW,2018-10-30,1.25,1.17,1,
CHRW,2019-01-29,1.34,1.21,1,
CHRW,2019-04-30,1.16,1.14,1,
CHRW,2019-07-30,1.22,1.22,0,
CHRW,2019-10-29,1.07,1.14,0,
CHRW,2020-01-28,0.73,0.96,0,
CHRW,2020-04-28,0.57,0.68,0,
CHRW,2020-07-28,1.06,0.6,1,
CHRW,2020-10-27,1.0,0.97,1,
CHRW,2021-01-26,1.08,0.97,1,
CHRW,2021-04-27,1.28,0.98,1,
CHRW,2021-07-27,1.44,1.33,1,
CHRW,2021-10-26,1.85,1.42,1,
CHRW,2022-02-02,1.74,1.85,0,
CHRW,2022-04-27,2.05,1.54,1,
CHRW,2022-07-27,2.67,1.98,1,
CHRW,2022-11-02,1.78,2.17,0,
CHRW,2023-02-01,1.03,1.38,0,
CHRW,2023-04-26,0.98,0.99,0,
CHRW,2023-08-02,0.9,0.91,0,
CHRW,2023-11-01,0.84,0.82,1,
CHRW,2024-01-31,0.5,0.81,0,
CHRW,2024-05-01,0.86,0.62,1,
CHRW,2024-07-31,1.15,0.96,1,4644641000.0
CHRW,2024-10-30,1.28,1.15,1,4184656000.0
CHRW,2025-01-29,1.21,1.11,1,4046740000.0
CHRW,2025-04-30,1.17,1.05,1,4136543000.0
