Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CHTR,2015-10-29,0.73,-0.07,1,
CHTR,2016-02-04,-1.21,-0.32,0,
CHTR,2016-04-28,-1.86,-1.21,0,
CHTR,2016-11-03,0.69,0.63,1,
CHTR,2017-02-16,1.67,1.0,1,
CHTR,2017-05-02,0.57,0.96,0,
CHTR,2017-07-27,0.52,0.87,0,
CHTR,2017-10-26,0.19,1.02,0,
CHTR,2018-02-02,1.14,0.87,1,
CHTR,2018-04-27,0.7,0.52,1,
CHTR,2018-07-31,1.15,0.99,1,
CHTR,2018-10-26,1.36,1.04,1,
CHTR,2019-01-31,1.29,1.51,0,
CHTR,2019-04-30,1.11,1.42,0,
CHTR,2019-07-26,1.39,1.85,0,
CHTR,2019-10-25,1.74,1.67,1,
CHTR,2020-01-31,3.28,2.49,1,
CHTR,2020-05-01,1.86,2.73,0,
CHTR,2020-07-31,3.63,2.44,1,
CHTR,2020-10-30,3.9,3.03,1,
CHTR,2021-01-29,6.05,4.89,1,
CHTR,2021-04-30,4.11,4.26,0,
CHTR,2021-07-30,5.29,4.78,1,
CHTR,2021-10-29,6.5,5.71,1,
CHTR,2022-01-28,8.93,6.89,1,
CHTR,2022-04-29,6.9,6.47,1,
CHTR,2022-07-29,8.8,6.89,1,
CHTR,2022-10-28,7.38,8.23,0,
CHTR,2023-01-27,7.69,8.79,0,
CHTR,2023-04-28,6.65,7.48,0,
CHTR,2023-07-28,8.05,7.96,1,
CHTR,2023-10-27,8.25,7.94,1,
CHTR,2024-02-02,7.07,8.73,0,
CHTR,2024-04-26,7.55,7.92,0,13685000000.0
CHTR,2024-07-26,8.49,7.98,1,13795000000.0
CHTR,2024-11-01,8.82,8.62,1,13795000000.0
CHTR,2025-01-31,10.1,9.36,1,13735000000.0
CHTR,2025-04-25,8.42,8.69,0,13766000000.0
