Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CL,2015-10-30,0.72,0.72,0,
CL,2016-01-29,0.73,0.72,1,
CL,2016-04-28,0.63,0.63,0,
CL,2016-07-28,0.7,0.69,1,
CL,2016-10-27,0.73,0.73,0,
CL,2017-01-27,0.75,0.75,0,
CL,2017-04-28,0.67,0.66,1,
CL,2017-07-21,0.72,0.72,0,
CL,2017-10-27,0.73,0.73,0,
CL,2018-01-26,0.75,0.75,0,
CL,2018-04-27,0.74,0.72,1,
CL,2018-07-27,0.77,0.77,0,
CL,2018-10-26,0.72,0.72,0,
CL,2019-01-25,0.74,0.73,1,
CL,2019-04-26,0.67,0.66,1,
CL,2019-07-26,0.72,0.72,0,
CL,2019-11-01,0.71,0.7,1,
CL,2020-01-31,0.73,0.73,0,
CL,2020-05-01,0.75,0.74,1,
CL,2020-07-31,0.74,0.7,1,
CL,2020-10-30,0.79,0.7,1,
CL,2021-01-29,0.77,0.76,1,
CL,2021-04-30,0.8,0.79,1,
CL,2021-07-30,0.8,0.8,0,
CL,2021-10-29,0.81,0.79,1,
CL,2022-01-28,0.79,0.79,0,
CL,2022-04-29,0.74,0.74,0,
CL,2022-07-29,0.72,0.71,1,
CL,2022-10-28,0.74,0.73,1,
CL,2023-01-27,0.77,0.76,1,
CL,2023-04-28,0.73,0.7,1,
CL,2023-07-28,0.77,0.75,1,
CL,2023-10-27,0.86,0.8,1,
CL,2024-01-26,0.87,0.85,1,
CL,2024-04-26,0.86,0.81,1,5058000000.0
CL,2024-07-26,0.91,0.87,1,5033000000.0
CL,2024-10-25,0.91,0.89,1,4945000000.0
CL,2025-01-31,0.91,0.89,1,4911000000.0
CL,2025-04-25,0.91,0.86,1,5110000000.0
