Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CMG,2016-02-02,2.17,1.85,1,
CMG,2016-04-26,-0.88,-0.95,1,
CMG,2016-07-21,0.87,0.93,0,
CMG,2016-10-25,0.27,1.58,0,
CMG,2017-02-02,0.55,0.57,0,
CMG,2017-04-25,1.6,1.27,1,
CMG,2017-07-25,2.32,2.18,1,
CMG,2017-10-24,0.69,1.63,0,
CMG,2018-02-06,1.34,1.32,1,
CMG,2018-04-25,2.13,1.57,1,
CMG,2018-07-26,2.87,2.8,1,
CMG,2018-10-25,2.16,2.0,1,
CMG,2019-02-06,1.72,1.37,1,
CMG,2019-04-24,3.4,3.01,1,
CMG,2019-07-23,3.99,3.76,1,
CMG,2019-10-22,3.82,3.22,1,
CMG,2020-02-04,2.86,2.75,1,
CMG,2020-04-21,3.08,2.91,1,
CMG,2020-07-22,0.4,0.35,1,
CMG,2020-10-21,3.76,3.47,1,
CMG,2021-02-02,3.48,3.73,0,
CMG,2021-04-21,5.36,4.89,1,
CMG,2021-07-20,7.46,6.52,1,
CMG,2021-10-21,7.02,6.32,1,
CMG,2022-02-08,5.58,5.26,1,
CMG,2022-04-26,5.7,5.64,1,
CMG,2022-07-26,9.3,9.04,1,
CMG,2022-10-25,9.51,9.21,1,
CMG,2023-02-07,8.29,8.9,0,
CMG,2023-04-25,10.5,8.92,1,
CMG,2023-07-26,12.65,12.31,1,
CMG,2023-10-26,11.36,10.55,1,
CMG,2024-02-06,10.36,9.75,1,
CMG,2024-04-24,13.37,11.68,1,2973117000.0
CMG,2024-07-24,0.34,0.32,1,2793576000.0
CMG,2024-10-29,0.27,0.25,1,2845310000.0
CMG,2025-02-04,0.25,0.24,1,2875253000.0
CMG,2025-04-23,0.29,0.28,1,3063393000.0
