Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CMI,2015-10-27,2.14,2.6,0,
CMI,2016-02-04,2.02,2.11,0,
CMI,2016-05-03,1.87,1.78,1,
CMI,2016-08-02,2.4,2.16,1,
CMI,2016-11-01,2.02,1.96,1,
CMI,2017-02-09,2.25,1.99,1,
CMI,2017-05-02,2.36,1.81,1,
CMI,2017-08-01,2.53,2.58,0,
CMI,2017-10-31,2.71,2.46,1,
CMI,2018-02-06,3.03,2.67,1,
CMI,2018-05-01,3.3,2.93,1,
CMI,2018-07-31,3.29,3.63,0,
CMI,2018-10-30,4.05,3.76,1,
CMI,2019-02-06,3.48,3.81,0,
CMI,2019-04-30,3.97,3.57,1,
CMI,2019-07-30,4.27,4.4,0,
CMI,2019-10-29,3.88,3.83,1,
CMI,2020-02-04,2.56,2.42,1,
CMI,2020-04-28,3.18,2.17,1,
CMI,2020-07-28,1.95,0.93,1,
CMI,2020-10-27,3.57,2.43,1,
CMI,2021-02-04,3.36,2.8,1,
CMI,2021-05-04,4.04,3.47,1,
CMI,2021-08-03,4.1,4.05,1,
CMI,2021-11-02,3.69,3.91,0,
CMI,2022-02-03,2.73,3.15,0,
CMI,2022-05-03,4.04,3.56,1,
CMI,2022-08-02,4.94,4.35,1,
CMI,2022-11-03,2.82,4.85,0,
CMI,2023-02-06,4.43,4.5,0,
CMI,2023-05-02,5.55,4.75,1,
CMI,2023-08-03,5.05,5.29,0,
CMI,2023-11-02,4.59,4.68,0,
CMI,2024-02-06,3.97,4.48,0,
CMI,2024-05-02,5.1,5.13,0,8796000000.0
CMI,2024-08-01,5.26,4.81,1,8796000000.0
CMI,2024-11-05,5.86,4.8,1,8447000000.0
CMI,2025-02-04,5.14,4.68,1,8174000000.0
CMI,2025-05-05,5.96,4.9,1,8643000000.0
