Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CMS,2015-10-29,0.53,0.49,1,
CMS,2016-02-04,0.38,0.38,0,
CMS,2016-04-28,0.59,0.59,0,
CMS,2016-07-28,0.45,0.36,1,
CMS,2016-10-27,0.7,0.62,1,
CMS,2017-02-02,0.29,0.29,0,
CMS,2017-05-01,0.71,0.68,1,
CMS,2017-07-28,0.33,0.39,0,
CMS,2017-10-26,0.62,0.56,1,
CMS,2018-02-14,0.51,0.51,0,
CMS,2018-04-26,0.86,0.82,1,
CMS,2018-07-26,0.48,0.41,1,
CMS,2018-10-25,0.59,0.58,1,
CMS,2019-01-31,0.4,0.4,0,
CMS,2019-04-25,0.75,0.78,0,
CMS,2019-07-25,0.33,0.36,0,
CMS,2019-10-24,0.73,0.67,1,
CMS,2020-01-30,0.68,0.69,0,
CMS,2020-04-27,0.86,0.79,1,
CMS,2020-08-03,0.49,0.42,1,
CMS,2020-10-29,0.77,0.72,1,
CMS,2021-02-04,0.56,0.55,1,
CMS,2021-04-29,1.21,1.14,1,
CMS,2021-07-29,0.62,0.46,1,
CMS,2021-10-28,0.54,0.54,0,
CMS,2022-02-03,0.47,0.44,1,
CMS,2022-05-03,1.2,1.12,1,
CMS,2022-07-28,0.53,0.5,1,
CMS,2022-10-27,0.56,0.55,1,
CMS,2023-02-02,0.6,0.39,1,
CMS,2023-04-27,0.7,0.76,0,
CMS,2023-07-27,0.75,0.7,1,
CMS,2023-10-26,0.61,0.61,0,
CMS,2024-02-01,1.05,1.05,0,
CMS,2024-04-25,0.97,0.94,1,1607000000.0
CMS,2024-07-25,0.66,0.63,1,1743000000.0
CMS,2024-10-31,0.84,0.78,1,1989000000.0
CMS,2025-02-06,0.87,0.87,0,2447000000.0
CMS,2025-04-24,1.02,1.01,1,1838000000.0
