Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
COF,2015-10-22,1.98,1.94,1,
COF,2016-01-26,1.58,1.61,0,
COF,2016-04-26,1.84,1.91,0,
COF,2016-07-21,1.69,1.86,0,
COF,2016-10-25,1.9,1.94,0,
COF,2017-01-24,1.45,1.6,0,
COF,2017-04-25,1.54,1.92,0,
COF,2017-07-20,1.94,1.9,1,
COF,2017-10-24,2.48,2.15,1,
COF,2018-01-23,1.59,1.88,0,
COF,2018-04-24,2.62,2.32,1,
COF,2018-07-19,3.16,2.63,1,
COF,2018-10-23,2.99,2.88,1,
COF,2019-01-22,1.87,2.37,0,
COF,2019-04-25,2.9,2.7,1,
COF,2019-07-18,3.07,2.87,1,
COF,2019-10-24,3.17,2.88,1,
COF,2020-01-21,2.25,2.28,0,
COF,2020-04-23,-3.1,0.52,0,
COF,2020-07-21,-2.21,-1.68,0,
COF,2020-10-22,5.06,2.13,1,
COF,2021-01-26,5.35,2.86,1,
COF,2021-04-27,7.03,4.17,1,
COF,2021-07-22,7.62,4.64,1,
COF,2021-10-26,6.78,5.38,1,
COF,2022-01-25,5.41,5.3,1,
COF,2022-04-26,5.62,5.44,1,
COF,2022-07-21,4.96,5.09,0,
COF,2022-10-27,4.2,5.04,0,
COF,2023-01-24,2.82,3.84,0,
COF,2023-04-27,2.31,3.92,0,
COF,2023-07-20,3.52,3.23,1,
COF,2023-10-26,4.45,3.25,1,
COF,2024-01-25,2.24,2.64,0,
COF,2024-04-25,3.21,3.31,0,9533000000.0
COF,2024-07-23,3.14,3.29,0,10014000000.0
COF,2024-10-24,4.51,3.76,1,10190000000.0
COF,2025-01-21,3.09,2.82,1,10000000000.0
COF,2025-04-22,4.06,3.71,1,12577000000.0
