Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
COP,2015-10-29,-0.38,-0.37,0,
COP,2016-02-04,-0.9,-0.65,0,
COP,2016-04-28,-0.95,-1.05,1,
COP,2016-07-28,-0.79,-0.61,0,
COP,2016-10-27,-0.66,-0.68,1,
COP,2017-02-02,-0.26,-0.42,1,
COP,2017-05-02,-0.02,0.01,0,
COP,2017-07-27,0.14,-0.01,1,
COP,2017-10-26,0.16,0.09,1,
COP,2018-02-01,0.45,0.46,0,
COP,2018-04-26,0.96,0.73,1,
COP,2018-07-26,1.09,1.08,1,
COP,2018-10-25,1.36,1.18,1,
COP,2019-01-31,1.13,1.01,1,
COP,2019-04-30,1.0,0.9,1,
COP,2019-07-30,1.01,1.03,0,
COP,2019-10-29,0.82,0.73,1,
COP,2020-02-04,0.76,0.8,0,
COP,2020-04-30,0.45,0.23,1,
COP,2020-07-30,-0.92,-0.58,0,
COP,2020-10-29,-0.31,-0.32,1,
COP,2021-02-02,-0.19,-0.28,1,
COP,2021-05-04,0.69,0.51,1,
COP,2021-08-03,1.27,1.1,1,
COP,2021-11-02,1.77,1.51,1,
COP,2022-02-03,2.27,2.18,1,
COP,2022-05-05,3.27,3.03,1,
COP,2022-08-04,3.91,3.8,1,
COP,2022-11-03,3.6,3.46,1,
COP,2023-02-02,2.71,2.81,0,
COP,2023-05-04,2.38,2.05,1,
COP,2023-08-03,1.84,1.95,0,
COP,2023-11-02,2.16,2.08,1,
COP,2024-02-08,2.4,2.09,1,
COP,2024-05-02,2.03,2.04,0,13620000000.0
COP,2024-08-01,1.98,1.96,1,13620000000.0
COP,2024-10-31,1.78,1.64,1,14236000000.0
COP,2025-02-06,1.98,1.84,1,16517000000.0
COP,2025-05-08,2.09,2.06,1,14004000000.0
