Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
COR,2014-02-12,0.15,0.11,1,
COR,2014-04-23,0.17,0.07,1,
COR,2014-07-22,0.18,0.14,1,
COR,2014-10-30,0.14,0.14,0,
COR,2015-02-12,0.21,0.15,1,
COR,2015-04-23,0.21,0.18,1,
COR,2015-07-23,0.22,0.19,1,
COR,2015-10-22,0.26,0.25,1,
COR,2016-02-11,0.32,0.29,1,
COR,2016-04-28,0.37,0.3,1,
COR,2016-07-28,0.37,0.32,1,
COR,2016-10-27,0.36,0.35,1,
COR,2017-02-09,0.44,0.39,1,
COR,2017-04-27,0.48,0.46,1,
COR,2017-07-27,0.46,0.45,1,
COR,2017-10-26,0.46,0.43,1,
COR,2018-02-08,0.44,0.47,0,
COR,2018-04-26,0.59,0.58,1,
COR,2018-07-26,0.57,0.55,1,
COR,2018-10-25,0.52,0.52,0,
COR,2019-02-06,0.54,0.51,1,
COR,2019-04-24,0.54,0.56,0,
COR,2019-07-24,0.53,0.54,0,
COR,2019-10-31,0.47,0.48,0,
COR,2020-02-06,0.51,0.53,0,
COR,2020-04-30,0.48,0.45,1,
COR,2020-07-30,0.52,0.45,1,
COR,2020-10-29,0.5,0.42,1,
COR,2021-02-04,0.46,0.45,1,
COR,2021-04-29,0.51,0.44,1,
COR,2021-07-29,0.59,0.46,1,
COR,2021-10-28,0.5,0.47,1,
COR,2023-11-02,2.86,2.8,1,
COR,2024-01-31,3.28,2.89,1,
COR,2024-05-01,3.8,3.69,1,
COR,2024-07-31,3.34,3.22,1,79050106000.0
COR,2024-11-06,3.34,3.22,1,81487060000.0
COR,2025-02-05,3.73,3.5,1,75453673000.0
COR,2025-05-07,4.42,4.11,1,80663532000.0
