Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CRWD,2019-07-18,-0.47,-0.47,0,
CRWD,2019-09-05,-0.18,-0.23,1,
CRWD,2019-12-05,-0.07,-0.12,1,
CRWD,2020-03-19,-0.02,-0.08,1,
CRWD,2020-06-02,0.02,-0.06,1,
CRWD,2020-09-02,0.03,-0.01,1,
CRWD,2021-03-16,0.13,0.08,1,
CRWD,2021-06-03,0.1,0.06,1,
CRWD,2021-08-31,0.11,0.09,1,
CRWD,2021-12-01,0.17,0.1,1,
CRWD,2022-03-09,0.3,0.2,1,
CRWD,2022-06-02,0.31,0.23,1,
CRWD,2022-08-30,0.36,0.28,1,
CRWD,2022-11-29,0.4,0.31,1,
CRWD,2023-03-07,0.47,0.43,1,
CRWD,2023-05-31,0.57,0.51,1,
CRWD,2023-08-30,0.74,0.56,1,
CRWD,2023-11-28,0.82,0.74,1,
CRWD,2024-03-05,0.95,0.82,1,
CRWD,2024-06-04,0.93,0.89,1,
CRWD,2024-08-28,1.04,0.97,1,
CRWD,2024-11-26,0.93,0.81,1,
CRWD,2025-03-04,1.03,0.85,1,
CRWD,2025-06-03,0.73,0.65,1,
