Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CSCO,2015-11-12,0.59,0.56,1,
CSCO,2016-02-10,0.57,0.54,1,
CSCO,2016-05-18,0.57,0.55,1,
CSCO,2016-08-17,0.63,0.6,1,
CSCO,2016-11-16,0.61,0.59,1,
CSCO,2017-02-15,0.57,0.56,1,
CSCO,2017-05-17,0.6,0.58,1,
CSCO,2017-08-16,0.61,0.61,0,
CSCO,2017-11-15,0.61,0.6,1,
CSCO,2018-02-14,0.63,0.59,1,
CSCO,2018-05-16,0.66,0.65,1,
CSCO,2018-08-15,0.7,0.69,1,
CSCO,2018-11-14,0.75,0.72,1,
CSCO,2019-02-13,0.73,0.72,1,
CSCO,2019-05-15,0.78,0.77,1,
CSCO,2019-08-14,0.83,0.82,1,
CSCO,2019-11-13,0.84,0.81,1,
CSCO,2020-02-12,0.77,0.76,1,
CSCO,2020-05-13,0.79,0.69,1,
CSCO,2020-08-12,0.8,0.74,1,
CSCO,2020-11-12,0.76,0.7,1,
CSCO,2021-02-08,0.79,0.76,1,
CSCO,2021-05-19,0.83,0.82,1,
CSCO,2021-08-18,0.84,0.82,1,
CSCO,2021-11-17,0.82,0.8,1,
CSCO,2022-02-16,0.84,0.81,1,
CSCO,2022-05-18,0.87,0.86,1,
CSCO,2022-08-17,0.83,0.82,1,
CSCO,2022-11-16,0.86,0.84,1,
CSCO,2023-02-15,0.88,0.86,1,
CSCO,2023-05-17,1.0,0.97,1,
CSCO,2023-08-16,1.14,1.06,1,
CSCO,2023-11-15,1.11,1.03,1,
CSCO,2024-02-14,0.87,0.84,1,
CSCO,2024-05-15,0.88,0.82,1,
CSCO,2024-08-14,0.87,0.85,1,
CSCO,2024-11-13,0.91,0.87,1,
CSCO,2025-02-12,0.94,0.91,1,
CSCO,2025-05-14,0.96,0.92,1,
