Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CSX,2015-10-13,0.17,0.17,0,
CSX,2016-01-12,0.16,0.15,1,
CSX,2016-04-12,0.12,0.12,0,
CSX,2016-07-13,0.16,0.15,1,
CSX,2016-10-12,0.16,0.15,1,
CSX,2017-01-17,0.16,0.17,0,
CSX,2017-04-19,0.17,0.14,1,
CSX,2017-07-18,0.21,0.2,1,
CSX,2017-10-17,0.17,0.17,0,
CSX,2018-01-16,0.21,0.19,1,
CSX,2018-04-17,0.26,0.22,1,
CSX,2018-07-17,0.34,0.29,1,
CSX,2018-10-16,0.35,0.32,1,
CSX,2019-01-16,0.34,0.33,1,
CSX,2019-04-16,0.34,0.3,1,
CSX,2019-07-16,0.36,0.37,0,
CSX,2019-10-16,0.36,0.34,1,
CSX,2020-01-16,0.33,0.32,1,
CSX,2020-04-22,0.33,0.31,1,
CSX,2020-07-22,0.22,0.21,1,
CSX,2020-10-21,0.32,0.31,1,
CSX,2021-01-21,0.35,0.34,1,
CSX,2021-04-20,0.31,0.32,0,
CSX,2021-07-21,0.39,0.37,1,
CSX,2021-10-20,0.43,0.38,1,
CSX,2022-01-20,0.42,0.41,1,
CSX,2022-04-20,0.39,0.37,1,
CSX,2022-07-20,0.54,0.47,1,
CSX,2022-10-20,0.51,0.49,1,
CSX,2023-01-25,0.47,0.46,1,
CSX,2023-04-20,0.48,0.43,1,
CSX,2023-07-20,0.49,0.49,0,
CSX,2023-10-19,0.42,0.43,0,
CSX,2024-01-24,0.45,0.44,1,
CSX,2024-04-17,0.46,0.45,1,3701000000.0
CSX,2024-08-05,0.49,0.48,1,3619000000.0
CSX,2024-10-16,0.46,0.48,0,3539000000.0
CSX,2025-01-23,0.42,0.42,0,3423000000.0
CSX,2025-04-16,0.34,0.37,0,3574000000.0
