Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CTAS,2015-09-24,0.93,0.9,1,
CTAS,2015-12-21,1.03,1.0,1,
CTAS,2016-03-22,1.05,0.95,1,
CTAS,2016-07-19,1.08,1.0,1,
CTAS,2016-09-27,1.26,1.09,1,
CTAS,2016-12-22,1.13,1.15,0,
CTAS,2017-03-22,1.11,1.07,1,
CTAS,2017-07-20,0.75,1.1,0,
CTAS,2017-09-26,1.45,1.3,1,
CTAS,2017-12-21,1.31,1.27,1,
CTAS,2018-03-22,1.37,1.27,1,
CTAS,2018-07-19,1.77,1.67,1,
CTAS,2018-09-25,1.93,1.81,1,
CTAS,2018-12-20,1.76,1.7,1,
CTAS,2019-03-21,1.84,1.71,1,
CTAS,2019-07-16,2.07,1.93,1,
CTAS,2019-09-24,2.32,2.15,1,
CTAS,2019-12-17,2.27,2.03,1,
CTAS,2020-03-19,2.16,2.02,1,
CTAS,2020-07-23,1.35,1.21,1,
CTAS,2020-09-23,2.78,2.13,1,
CTAS,2020-12-22,2.62,2.18,1,
CTAS,2021-03-17,2.37,2.22,1,
CTAS,2021-07-15,2.47,2.3,1,
CTAS,2021-09-29,3.11,2.75,1,
CTAS,2021-12-22,2.76,2.65,1,
CTAS,2022-03-23,2.69,2.43,1,
CTAS,2022-07-14,2.81,2.67,1,
CTAS,2022-09-28,3.39,3.13,1,
CTAS,2022-12-21,3.12,3.03,1,
CTAS,2023-03-29,3.14,3.04,1,
CTAS,2023-07-13,3.33,3.19,1,
CTAS,2023-09-26,3.7,3.67,1,
CTAS,2023-12-21,3.61,3.49,1,
CTAS,2024-03-27,3.84,3.58,1,
CTAS,2024-07-18,3.99,3.79,1,
CTAS,2024-09-25,1.1,0.95,1,
CTAS,2024-12-19,1.09,1.01,1,
CTAS,2025-03-26,1.13,1.06,1,
