Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
CVX,2015-10-30,1.09,0.76,1,
CVX,2016-01-29,0.26,0.47,0,
CVX,2016-04-29,-0.11,-0.16,1,
CVX,2016-07-29,0.35,0.32,1,
CVX,2016-10-28,0.49,0.37,1,
CVX,2017-01-27,0.21,0.64,0,
CVX,2017-04-28,1.23,0.85,1,
CVX,2017-07-28,0.91,0.86,1,
CVX,2017-10-27,0.85,0.98,0,
CVX,2018-02-02,0.72,1.22,0,
CVX,2018-04-27,1.9,1.48,1,
CVX,2018-07-27,1.78,2.09,0,
CVX,2018-11-02,2.11,2.06,1,
CVX,2019-02-01,1.95,1.87,1,
CVX,2019-04-26,1.39,1.3,1,
CVX,2019-08-02,1.77,1.8,0,
CVX,2019-11-01,1.55,1.45,1,
CVX,2020-01-31,1.49,1.45,1,
CVX,2020-05-01,1.29,0.68,1,
CVX,2020-07-31,-1.59,-0.88,0,
CVX,2020-10-30,0.11,-0.26,1,
CVX,2021-01-29,-0.01,0.07,0,
CVX,2021-04-30,0.9,0.9,0,
CVX,2021-07-30,1.71,1.59,1,
CVX,2021-10-29,2.96,2.21,1,
CVX,2022-01-28,2.56,3.12,0,
CVX,2022-04-29,3.36,3.27,1,
CVX,2022-07-29,5.82,5.1,1,
CVX,2022-10-28,5.56,4.81,1,
CVX,2023-01-27,4.09,4.38,0,
CVX,2023-04-28,3.55,3.41,1,
CVX,2023-07-23,3.08,2.97,1,
CVX,2023-10-27,3.05,3.75,0,
CVX,2024-02-02,3.45,3.21,1,
CVX,2024-04-26,2.93,2.87,1,49574000000.0
CVX,2024-08-02,2.55,2.93,0,48926000000.0
CVX,2024-11-01,2.51,2.42,1,48926000000.0
CVX,2025-01-31,2.06,2.11,0,46101000000.0
CVX,2025-05-02,2.18,2.18,0,44375000000.0
