Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
DASH,2021-02-25,0.47,-0.14,1,
DASH,2021-05-13,-0.34,-0.26,0,
DASH,2021-08-12,-0.3,-0.2,0,
DASH,2021-11-09,-0.3,-0.26,0,
DASH,2022-02-16,-0.45,-0.25,0,
DASH,2022-05-05,-0.48,-0.41,0,
DASH,2022-08-04,-0.72,-0.41,0,
DASH,2022-11-03,-0.77,-0.6,0,
DASH,2023-02-16,-1.65,-0.68,0,
DASH,2023-05-04,-0.41,-0.58,1,
DASH,2023-08-02,-0.44,-0.41,0,
DASH,2023-11-01,-0.19,-0.4,1,
DASH,2024-02-15,-0.39,-0.16,0,
DASH,2024-05-01,-0.06,-0.04,0,
DASH,2024-08-01,-0.18,-0.09,0,2630000000.0
DASH,2024-10-30,0.38,0.22,1,2873000000.0
DASH,2025-02-11,0.33,0.33,0,3032000000.0
DASH,2025-05-06,0.44,0.39,1,3284000000.0
