Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
DGX,2015-10-22,1.28,1.26,1,
DGX,2016-01-28,1.19,1.19,0,
DGX,2016-04-21,1.12,1.12,0,
DGX,2016-07-21,1.34,1.32,1,
DGX,2016-10-20,1.37,1.35,1,
DGX,2017-01-26,1.31,1.27,1,
DGX,2017-04-20,1.33,1.18,1,
DGX,2017-07-25,1.55,1.42,1,
DGX,2017-10-19,1.39,1.35,1,
DGX,2018-02-01,1.4,1.38,1,
DGX,2018-04-19,1.52,1.49,1,
DGX,2018-07-24,1.75,1.76,0,
DGX,2018-10-23,1.68,1.68,0,
DGX,2019-02-14,1.36,1.37,0,
DGX,2019-04-23,1.4,1.36,1,
DGX,2019-07-23,1.73,1.68,1,
DGX,2019-10-22,1.76,1.71,1,
DGX,2020-01-30,1.67,1.6,1,
DGX,2020-04-22,0.94,0.89,1,
DGX,2020-07-23,1.42,1.41,1,
DGX,2020-10-22,4.31,3.73,1,
DGX,2021-02-04,4.48,4.24,1,
DGX,2021-04-22,3.76,3.71,1,
DGX,2021-07-22,3.18,2.87,1,
DGX,2021-10-21,3.96,2.88,1,
DGX,2022-02-03,3.33,3.18,1,
DGX,2022-04-21,3.22,2.97,1,
DGX,2022-07-21,2.36,2.29,1,
DGX,2022-10-20,2.36,2.19,1,
DGX,2023-02-02,1.98,1.91,1,
DGX,2023-04-27,2.04,1.97,1,
DGX,2023-07-26,2.3,2.27,1,
DGX,2023-10-24,2.22,2.19,1,
DGX,2024-02-01,2.15,2.11,1,
DGX,2024-04-23,2.04,1.86,1,2397000000.0
DGX,2024-07-23,2.35,2.34,1,2488000000.0
DGX,2024-10-22,2.3,2.26,1,2621000000.0
DGX,2025-01-30,2.33,2.19,1,2652000000.0
DGX,2025-04-22,2.21,2.15,1,2761000000.0
