Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
DPZ,2015-10-08,0.67,0.74,0,
DPZ,2016-02-25,1.15,1.1,1,
DPZ,2016-04-28,0.89,0.98,0,
DPZ,2016-07-21,0.98,0.94,1,
DPZ,2016-10-18,0.96,0.9,1,
DPZ,2017-02-28,1.48,1.44,1,
DPZ,2017-04-27,1.26,1.16,1,
DPZ,2017-07-25,1.32,1.23,1,
DPZ,2017-10-12,1.27,1.22,1,
DPZ,2018-02-20,2.09,1.96,1,
DPZ,2018-04-26,2.0,1.77,1,
DPZ,2018-07-19,1.84,1.75,1,
DPZ,2018-10-16,1.95,1.75,1,
DPZ,2019-02-21,2.62,2.69,0,
DPZ,2019-04-24,2.2,2.09,1,
DPZ,2019-07-16,2.19,2.02,1,
DPZ,2019-10-08,2.05,2.07,0,
DPZ,2020-02-20,3.13,2.98,1,
DPZ,2020-04-23,3.07,2.32,1,
DPZ,2020-07-16,2.99,2.24,1,
DPZ,2020-10-08,2.49,2.79,0,
DPZ,2021-02-25,3.85,3.89,0,
DPZ,2021-04-29,3.0,2.94,1,
DPZ,2021-07-22,3.12,2.87,1,
DPZ,2021-10-14,3.24,3.11,1,
DPZ,2022-03-01,4.25,4.28,0,
DPZ,2022-04-28,2.5,3.06,0,
DPZ,2022-07-21,2.82,2.91,0,
DPZ,2022-10-13,2.79,2.97,0,
DPZ,2023-02-23,3.97,3.94,1,
DPZ,2023-04-27,2.93,2.73,1,
DPZ,2023-07-24,3.08,3.05,1,
DPZ,2023-10-12,4.18,3.3,1,
DPZ,2024-02-26,4.48,4.38,1,
DPZ,2024-04-29,3.58,3.39,1,1097736000.0
DPZ,2024-07-18,4.03,3.68,1,1080119000.0
DPZ,2024-10-10,4.19,3.65,1,1443914000.0
DPZ,2025-02-24,4.89,4.9,0,1112056000.0
DPZ,2025-04-28,4.33,4.07,1,1145144000.0
