Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
DRI,2015-12-18,0.54,0.42,1,
DRI,2016-04-05,1.21,1.19,1,
DRI,2016-06-30,1.1,1.08,1,
DRI,2016-10-04,0.88,0.82,1,
DRI,2016-12-20,0.64,0.64,0,
DRI,2017-03-27,1.32,1.27,1,
DRI,2017-06-27,1.18,1.15,1,
DRI,2017-09-26,0.99,0.99,0,
DRI,2017-12-19,0.73,0.7,1,
DRI,2018-03-22,1.71,1.64,1,
DRI,2018-06-21,1.39,1.35,1,
DRI,2018-09-20,1.34,1.24,1,
DRI,2018-12-18,0.92,0.91,1,
DRI,2019-03-21,1.8,1.75,1,
DRI,2019-06-20,1.76,1.73,1,
DRI,2019-09-19,1.38,1.36,1,
DRI,2019-12-19,1.12,1.07,1,
DRI,2020-03-19,1.9,1.88,1,
DRI,2020-06-25,-1.24,-1.65,1,
DRI,2020-09-24,0.56,0.05,1,
DRI,2020-12-18,0.74,0.71,1,
DRI,2021-03-25,0.98,0.69,1,
DRI,2021-06-24,2.03,1.79,1,
DRI,2021-09-23,1.76,1.65,1,
DRI,2021-12-17,1.48,1.43,1,
DRI,2022-03-24,1.91,2.1,0,
DRI,2022-06-23,2.27,2.21,1,
DRI,2022-09-22,1.53,1.56,0,
DRI,2022-12-16,1.52,1.44,1,
DRI,2023-03-23,2.34,2.25,1,
DRI,2023-06-22,2.58,2.54,1,
DRI,2023-09-21,1.78,1.74,1,
DRI,2023-12-15,1.84,1.74,1,
DRI,2024-03-21,2.62,2.62,0,
DRI,2024-06-20,2.65,2.61,1,
DRI,2024-09-19,1.75,1.83,0,
DRI,2024-12-19,2.03,2.02,1,
DRI,2025-03-20,2.8,2.79,1,
DRI,2025-06-20,2.98,2.97,1,
