Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
DVA,2015-11-03,1.0,0.97,1,
DVA,2016-02-11,1.01,0.97,1,
DVA,2016-05-04,0.92,0.86,1,
DVA,2016-08-08,1.01,0.98,1,
DVA,2016-11-02,0.95,0.93,1,
DVA,2017-02-16,0.98,0.91,1,
DVA,2017-05-02,0.79,0.81,0,
DVA,2017-08-01,0.92,0.9,1,
DVA,2017-11-07,0.81,0.94,0,
DVA,2018-02-13,0.92,0.94,0,
DVA,2018-05-03,1.05,0.93,1,
DVA,2018-08-01,1.05,0.97,1,
DVA,2018-11-07,0.56,0.87,0,
DVA,2019-02-13,0.9,0.9,0,
DVA,2019-05-07,0.91,0.93,0,
DVA,2019-08-01,1.22,1.11,1,
DVA,2019-11-05,1.53,1.24,1,
DVA,2020-02-10,1.86,1.66,1,
DVA,2020-05-05,1.83,1.47,1,
DVA,2020-07-30,1.95,1.3,1,
DVA,2020-10-29,1.8,1.44,1,
DVA,2021-02-11,1.67,1.87,0,
DVA,2021-04-29,2.09,1.82,1,
DVA,2021-08-03,2.64,2.17,1,
DVA,2021-10-28,2.36,2.25,1,
DVA,2022-02-10,2.02,1.8,1,
DVA,2022-05-05,1.61,1.87,0,
DVA,2022-08-01,2.3,2.09,1,
DVA,2022-10-28,1.13,1.77,0,
DVA,2023-02-22,0.59,0.91,0,
DVA,2023-05-08,1.25,1.15,1,
DVA,2023-08-03,1.91,1.69,1,
DVA,2023-11-07,2.62,2.02,1,
DVA,2024-02-13,1.62,1.59,1,
DVA,2024-05-02,2.26,1.95,1,3186722000.0
DVA,2024-08-06,2.5,2.54,0,3263590000.0
DVA,2024-10-29,2.5,2.72,0,3294683000.0
DVA,2025-02-13,2.24,2.13,1,3223529000.0
DVA,2025-05-12,2.0,1.95,1,3379526000.0
