Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EA,2015-10-29,0.65,0.45,1,
EA,2016-01-28,1.83,1.81,1,
EA,2016-05-10,0.5,0.42,1,
EA,2016-08-02,0.07,-0.02,1,
EA,2016-11-01,0.56,0.43,1,
EA,2017-01-31,2.48,2.3,1,
EA,2017-05-09,0.85,0.75,1,
EA,2017-07-27,0.36,0.27,1,
EA,2017-10-31,0.65,0.54,1,
EA,2018-01-30,2.18,2.19,0,
EA,2018-05-08,1.31,1.17,1,
EA,2018-07-26,0.13,0.06,1,
EA,2018-10-30,0.86,0.58,1,
EA,2019-02-05,1.95,1.94,1,
EA,2019-05-07,1.31,0.98,1,
EA,2019-07-30,0.25,0.01,1,
EA,2019-10-29,0.97,0.86,1,
EA,2020-01-30,2.52,2.51,1,
EA,2020-05-05,1.08,0.98,1,
EA,2020-07-30,1.42,0.79,1,
EA,2020-11-05,0.05,0.02,1,
EA,2021-02-02,3.06,2.96,1,
EA,2021-05-11,1.23,1.05,1,
EA,2021-08-04,0.79,0.67,1,
EA,2021-11-03,1.58,1.17,1,
EA,2022-02-01,3.2,3.22,0,
EA,2022-05-10,1.46,1.43,1,
EA,2022-08-02,0.47,0.28,1,
EA,2022-11-01,1.45,1.37,1,
EA,2023-01-31,2.8,3.05,0,
EA,2023-05-09,1.78,1.31,1,
EA,2023-08-01,1.14,1.02,1,
EA,2023-11-01,1.46,1.25,1,
EA,2024-01-30,2.96,2.93,1,
EA,2024-05-07,1.37,1.52,0,1660000000.0
EA,2024-07-30,0.52,0.42,1,2025000000.0
EA,2024-10-29,2.15,2.02,1,1883000000.0
EA,2025-02-04,2.83,3.07,0,1895000000.0
EA,2025-05-06,1.21,1.09,1,1671000000.0
