Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ED,2015-11-05,1.44,1.48,0,
ED,2016-02-18,0.61,0.54,1,
ED,2016-05-05,1.18,1.21,0,
ED,2016-08-04,0.59,0.69,0,
ED,2016-11-03,1.51,1.47,1,
ED,2017-02-16,0.68,0.66,1,
ED,2017-05-04,1.27,1.19,1,
ED,2017-08-03,0.58,0.62,0,
ED,2017-11-02,1.47,1.51,0,
ED,2018-02-15,0.8,0.77,1,
ED,2018-05-03,1.38,1.29,1,
ED,2018-08-02,0.61,0.56,1,
ED,2018-11-01,1.57,1.46,1,
ED,2019-02-21,0.77,0.75,1,
ED,2019-05-02,1.39,1.36,1,
ED,2019-08-01,0.58,0.59,0,
ED,2019-11-04,1.54,1.58,0,
ED,2020-02-20,0.87,0.8,1,
ED,2020-05-07,1.35,1.4,0,
ED,2020-08-06,0.6,0.54,1,
ED,2020-11-05,1.48,1.51,0,
ED,2021-02-18,0.75,0.76,0,
ED,2021-05-06,1.44,1.36,1,
ED,2021-08-05,0.53,0.62,0,
ED,2021-11-04,1.41,1.47,0,
ED,2022-02-17,1.0,0.85,1,
ED,2022-05-05,1.47,1.48,0,
ED,2022-08-04,0.64,0.59,1,
ED,2022-11-03,1.63,1.46,1,
ED,2023-02-16,0.81,0.8,1,
ED,2023-05-04,1.83,1.58,1,
ED,2023-08-03,0.61,0.61,0,
ED,2023-11-02,1.62,1.6,1,
ED,2024-02-15,1.0,0.96,1,
ED,2024-05-02,2.15,1.88,1,3220000000.0
ED,2024-08-01,0.59,0.57,1,3220000000.0
ED,2024-11-07,1.68,1.62,1,3669000000.0
ED,2025-02-20,0.98,0.95,1,4798000000.0
ED,2025-05-01,2.26,2.2,1,4798000000.0
