Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ELV,2015-10-28,2.73,2.33,1,
ELV,2016-01-27,1.14,1.2,0,
ELV,2016-04-27,3.46,3.32,1,
ELV,2016-07-27,3.33,3.23,1,
ELV,2016-11-02,2.45,2.47,0,
ELV,2017-02-01,1.76,1.61,1,
ELV,2017-04-26,4.68,3.86,1,
ELV,2017-07-26,3.37,3.23,1,
ELV,2017-10-25,2.65,2.42,1,
ELV,2018-01-31,1.29,1.27,1,
ELV,2018-04-25,5.41,4.88,1,
ELV,2018-07-25,4.25,4.16,1,
ELV,2018-10-31,3.81,3.7,1,
ELV,2019-01-30,2.44,2.2,1,
ELV,2019-04-24,6.03,5.81,1,
ELV,2019-07-24,4.64,4.61,1,
ELV,2019-10-23,4.87,4.82,1,
ELV,2020-01-29,3.88,3.88,0,
ELV,2020-04-29,6.48,6.48,0,
ELV,2020-07-29,9.2,8.87,1,
ELV,2020-10-28,4.2,4.15,1,
ELV,2021-01-27,2.54,2.52,1,
ELV,2021-04-21,7.01,6.51,1,
ELV,2021-07-21,7.03,6.33,1,
ELV,2021-10-20,6.79,6.37,1,
ELV,2022-01-26,5.14,5.11,1,
ELV,2022-04-20,8.25,7.81,1,
ELV,2022-07-20,8.04,7.74,1,
ELV,2022-10-19,7.53,7.15,1,
ELV,2023-01-25,5.23,5.19,1,
ELV,2023-04-19,9.46,9.26,1,
ELV,2023-07-19,9.04,8.8,1,
ELV,2023-10-18,8.99,8.44,1,
ELV,2024-01-24,5.62,5.64,0,
ELV,2024-04-18,10.64,10.53,1,43646000000.0
ELV,2024-07-17,10.12,10.01,1,45145000000.0
ELV,2024-10-17,8.37,9.66,0,45442000000.0
ELV,2025-01-23,3.84,3.8,1,48891000000.0
ELV,2025-04-22,11.97,11.38,1,49776000000.0
