Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EL,2016-05-03,0.73,0.61,1,
EL,2016-08-19,0.43,0.4,1,
EL,2016-11-02,0.84,0.8,1,
EL,2017-02-02,1.22,1.17,1,
EL,2017-05-03,0.91,0.73,1,
EL,2017-08-18,0.51,0.43,1,
EL,2017-11-01,1.21,0.97,1,
EL,2018-02-02,1.52,1.44,1,
EL,2018-05-02,1.17,1.07,1,
EL,2018-08-20,0.61,0.56,1,
EL,2018-10-31,1.41,1.22,1,
EL,2019-02-05,1.74,1.55,1,
EL,2019-05-01,1.55,1.3,1,
EL,2019-08-19,0.64,0.53,1,
EL,2019-10-31,1.67,1.6,1,
EL,2020-02-06,2.11,1.9,1,
EL,2020-05-01,0.85,0.73,1,
EL,2020-08-20,-0.53,-0.19,0,
EL,2020-11-02,1.44,0.9,1,
EL,2021-02-05,2.61,1.69,1,
EL,2021-05-03,1.62,1.32,1,
EL,2021-08-19,0.78,0.5,1,
EL,2021-11-02,1.89,1.7,1,
EL,2022-02-03,3.01,2.64,1,
EL,2022-05-03,1.9,1.67,1,
EL,2022-08-18,0.42,0.33,1,
EL,2022-11-02,1.37,1.31,1,
EL,2023-02-02,1.54,1.3,1,
EL,2023-05-03,0.47,0.51,0,
EL,2023-08-18,0.07,-0.04,1,
EL,2023-11-01,0.11,-0.2,1,
EL,2024-02-05,0.88,0.55,1,
EL,2024-05-01,0.97,0.49,1,
EL,2024-08-19,0.64,0.27,1,3361000000.0
EL,2024-10-31,0.14,0.09,1,4004000000.0
EL,2025-02-04,0.62,0.32,1,3550000000.0
EL,2025-05-01,0.65,0.32,1,3550000000.0
