Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EME,2015-10-29,0.66,0.7,0,
EME,2016-02-25,0.8,0.77,1,
EME,2016-04-28,0.57,0.58,0,
EME,2016-07-28,0.95,0.71,1,
EME,2016-10-27,0.85,0.77,1,
EME,2017-02-23,0.72,0.83,0,
EME,2017-04-27,0.88,0.65,1,
EME,2017-07-27,0.95,0.84,1,
EME,2017-10-26,1.09,0.81,1,
EME,2018-02-22,1.13,0.86,1,
EME,2018-04-26,0.94,0.85,1,
EME,2018-07-26,1.23,1.0,1,
EME,2018-10-25,1.35,1.23,1,
EME,2019-02-21,1.38,1.35,1,
EME,2019-04-30,1.28,1.09,1,
EME,2019-07-30,1.49,1.33,1,
EME,2019-10-29,1.45,1.43,1,
EME,2020-02-27,1.53,1.5,1,
EME,2020-04-30,1.35,1.34,1,
EME,2020-08-03,1.44,0.89,1,
EME,2020-10-29,1.76,1.25,1,
EME,2021-02-25,1.86,1.44,1,
EME,2021-04-29,1.54,1.22,1,
EME,2021-07-29,1.78,1.58,1,
EME,2021-10-28,1.85,1.79,1,
EME,2022-02-24,1.89,1.89,0,
EME,2022-04-28,1.39,1.61,0,
EME,2022-07-28,1.99,1.68,1,
EME,2022-10-27,2.16,2.08,1,
EME,2023-02-23,2.63,2.27,1,
EME,2023-04-27,2.32,1.8,1,
EME,2023-07-27,2.95,2.36,1,
EME,2023-10-26,3.57,2.72,1,
EME,2024-02-28,4.47,3.55,1,
EME,2024-04-25,4.17,2.84,1,3666897000.0
EME,2024-07-25,5.25,3.76,1,3696924000.0
EME,2024-10-31,5.8,4.98,1,3770019000.0
EME,2025-02-26,6.32,5.76,1,3867372000.0
EME,2025-04-30,5.26,4.62,1,4304400000.0
