Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EPAM,2015-11-04,0.7,0.68,1,
EPAM,2016-02-17,0.78,0.73,1,
EPAM,2016-05-05,0.66,0.72,0,
EPAM,2016-08-04,0.71,0.72,0,
EPAM,2016-11-07,0.76,0.75,1,
EPAM,2017-02-16,0.77,0.79,0,
EPAM,2017-05-04,0.72,0.74,0,
EPAM,2017-08-03,0.8,0.81,0,
EPAM,2017-11-02,0.92,0.85,1,
EPAM,2018-02-16,1.01,0.97,1,
EPAM,2018-05-09,0.93,0.91,1,
EPAM,2018-08-02,1.01,0.99,1,
EPAM,2018-11-01,1.17,1.05,1,
EPAM,2019-02-14,1.27,1.23,1,
EPAM,2019-05-09,1.25,1.17,1,
EPAM,2019-08-08,1.28,1.23,1,
EPAM,2019-11-07,1.39,1.33,1,
EPAM,2020-02-20,1.51,1.45,1,
EPAM,2020-05-07,1.43,1.4,1,
EPAM,2020-08-06,1.46,1.21,1,
EPAM,2020-11-05,1.65,1.47,1,
EPAM,2021-02-18,1.81,1.71,1,
EPAM,2021-05-06,1.81,1.68,1,
EPAM,2021-08-05,2.05,1.94,1,
EPAM,2021-11-04,2.42,2.22,1,
EPAM,2022-02-17,2.76,2.51,1,
EPAM,2022-05-05,2.49,1.77,1,
EPAM,2022-08-04,2.38,1.72,1,
EPAM,2022-11-03,3.1,2.53,1,
EPAM,2023-02-16,2.93,2.68,1,
EPAM,2023-05-05,2.47,2.34,1,
EPAM,2023-08-03,2.64,2.34,1,
EPAM,2023-11-02,2.73,2.56,1,
EPAM,2024-02-15,2.75,2.5,1,
EPAM,2024-05-09,2.46,2.32,1,1146597000.0
EPAM,2024-08-08,2.45,2.26,1,1167527000.0
EPAM,2024-11-07,3.12,2.7,1,1248351000.0
EPAM,2025-02-20,2.84,2.75,1,1301692000.0
EPAM,2025-05-08,2.41,2.27,1,1353443000.0
