Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EQIX,2015-10-28,0.71,1.1,0,
EQIX,2016-02-18,0.18,1.14,0,
EQIX,2016-05-04,-0.53,0.35,0,
EQIX,2016-08-03,0.65,0.63,1,
EQIX,2016-11-02,0.83,0.69,1,
EQIX,2017-02-15,0.86,0.74,1,
EQIX,2017-04-26,0.57,0.84,0,
EQIX,2017-08-02,0.58,1.07,0,
EQIX,2017-11-01,1.02,1.17,0,
EQIX,2018-02-14,0.82,1.17,0,
EQIX,2018-05-02,0.79,1.04,0,
EQIX,2018-08-08,0.85,0.93,0,
EQIX,2018-11-01,1.48,0.98,1,
EQIX,2019-02-13,1.36,1.23,1,
EQIX,2019-05-01,1.57,1.44,1,
EQIX,2019-07-31,1.69,1.57,1,
EQIX,2019-10-30,1.41,1.67,0,
EQIX,2020-02-12,1.46,1.56,0,
EQIX,2020-05-06,1.38,1.81,0,
EQIX,2020-07-29,1.52,1.64,0,
EQIX,2020-10-28,0.74,1.68,0,
EQIX,2021-02-10,0.57,1.53,0,
EQIX,2021-04-28,1.74,1.71,1,
EQIX,2021-07-28,1.89,1.85,1,
EQIX,2021-11-03,1.68,1.57,1,
EQIX,2022-02-16,1.36,1.41,0,
EQIX,2022-04-27,1.62,1.65,0,
EQIX,2022-07-27,2.37,1.8,1,
EQIX,2022-11-02,2.3,1.78,1,
EQIX,2023-02-15,1.39,1.74,0,
EQIX,2023-05-03,2.77,2.19,1,
EQIX,2023-08-02,2.21,2.06,1,
EQIX,2023-10-24,2.93,2.15,1,
EQIX,2024-02-14,2.4,2.17,1,
EQIX,2024-05-08,2.43,2.64,0,2159000000.0
EQIX,2024-08-07,3.16,2.67,1,2201000000.0
EQIX,2024-10-30,3.1,2.93,1,2261000000.0
EQIX,2025-02-12,2.58,2.71,0,2225000000.0
EQIX,2025-04-30,3.61,2.96,1,2256000000.0
