Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EQR,2016-04-26,9.76,0.73,1,
EQR,2016-07-26,0.59,0.42,1,
EQR,2016-10-25,0.56,0.4,1,
EQR,2017-01-31,0.75,0.4,1,
EQR,2017-04-25,0.39,0.29,1,
EQR,2017-07-25,0.53,0.33,1,
EQR,2017-10-24,0.37,0.34,1,
EQR,2018-01-30,0.34,0.36,0,
EQR,2018-04-24,0.57,0.28,1,
EQR,2018-07-24,0.31,0.31,0,
EQR,2018-10-23,0.6,0.35,1,
EQR,2019-01-29,0.31,0.36,0,
EQR,2019-04-30,0.28,0.31,0,
EQR,2019-07-30,0.83,0.35,1,
EQR,2019-10-22,0.71,0.37,1,
EQR,2020-01-28,0.77,0.35,1,
EQR,2020-05-05,0.83,0.33,1,
EQR,2020-07-28,0.7,0.36,1,
EQR,2020-10-27,0.24,0.34,0,
EQR,2021-02-10,0.68,0.24,1,
EQR,2021-04-27,0.15,0.24,0,
EQR,2021-07-27,0.84,0.24,1,
EQR,2021-10-26,1.15,0.38,1,
EQR,2022-02-01,1.4,0.43,1,
EQR,2022-04-26,0.19,0.24,0,
EQR,2022-07-26,0.59,0.29,1,
EQR,2022-10-25,0.86,0.35,1,
EQR,2023-02-09,0.42,0.39,1,
EQR,2023-04-25,0.56,0.33,1,
EQR,2023-07-27,0.37,0.38,0,
EQR,2023-10-31,0.45,0.4,1,
EQR,2024-01-30,0.82,0.43,1,
EQR,2024-04-23,0.77,0.33,1,734163000.0
EQR,2024-07-29,0.47,0.38,1,748348000.0
EQR,2024-10-30,0.38,0.42,0,766779000.0
EQR,2025-02-03,1.1,0.42,1,760810000.0
EQR,2025-04-29,0.67,0.3,1,768827000.0
