Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ESS,2016-04-28,1.19,0.78,1,
ESS,2016-07-29,1.1,0.83,1,
ESS,2016-10-27,1.0,0.94,1,
ESS,2017-02-02,2.98,1.0,1,
ESS,2017-04-27,2.72,0.98,1,
ESS,2017-07-27,1.08,1.02,1,
ESS,2017-11-01,1.21,1.01,1,
ESS,2018-02-07,1.57,1.08,1,
ESS,2018-05-02,1.38,1.1,1,
ESS,2018-08-01,1.52,1.15,1,
ESS,2018-10-29,1.22,1.11,1,
ESS,2019-01-30,1.76,1.13,1,
ESS,2019-04-24,1.81,1.17,1,
ESS,2019-07-24,1.4,1.23,1,
ESS,2019-10-23,1.53,1.34,1,
ESS,2020-01-29,1.95,1.39,1,
ESS,2020-05-06,1.96,1.51,1,
ESS,2020-08-03,1.09,1.08,1,
ESS,2020-10-28,1.13,1.05,1,
ESS,2021-02-04,1.47,1.01,1,
ESS,2021-04-27,2.59,0.96,1,
ESS,2021-07-29,1.0,0.84,1,
ESS,2021-10-26,1.82,1.01,1,
ESS,2022-02-02,2.1,1.07,1,
ESS,2022-04-26,1.12,1.21,0,
ESS,2022-07-26,0.87,1.32,0,
ESS,2022-10-26,1.43,1.34,1,
ESS,2023-02-07,2.86,1.45,1,
ESS,2023-04-27,2.38,1.29,1,
ESS,2023-07-27,1.55,1.38,1,
ESS,2023-10-26,1.36,1.42,0,
ESS,2024-02-06,1.02,1.46,0,
ESS,2024-04-30,4.25,1.29,1,442355000.0
ESS,2024-07-30,1.45,1.35,1,450698000.0
ESS,2024-10-29,1.84,1.37,1,454469000.0
ESS,2025-02-04,1.27,1.38,0,464583000.0
ESS,2025-04-29,3.16,1.4,1,469833000.0
