Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EW,2015-10-26,0.18,0.16,1,
EW,2016-02-02,0.21,0.21,0,
EW,2016-04-26,0.24,0.22,1,
EW,2016-07-26,0.25,0.23,1,
EW,2016-10-25,0.23,0.23,0,
EW,2017-02-01,0.25,0.24,1,
EW,2017-04-25,0.31,0.27,1,
EW,2017-07-26,0.32,0.29,1,
EW,2017-10-24,0.28,0.29,0,
EW,2018-02-01,0.31,0.3,1,
EW,2018-04-24,0.41,0.37,1,
EW,2018-07-26,0.41,0.38,1,
EW,2018-10-23,0.36,0.34,1,
EW,2019-01-31,0.39,0.39,0,
EW,2019-04-23,0.44,0.41,1,
EW,2019-07-23,0.46,0.44,1,
EW,2019-10-23,0.47,0.41,1,
EW,2020-01-30,0.49,0.5,0,
EW,2020-04-23,0.5,0.44,1,
EW,2020-07-23,0.34,0.17,1,
EW,2020-10-21,0.51,0.44,1,
EW,2021-01-27,0.5,0.53,0,
EW,2021-04-20,0.54,0.47,1,
EW,2021-07-29,0.64,0.56,1,
EW,2021-10-27,0.54,0.53,1,
EW,2022-01-26,0.51,0.55,0,
EW,2022-04-26,0.6,0.57,1,
EW,2022-07-28,0.63,0.64,0,
EW,2022-10-27,0.61,0.62,0,
EW,2023-01-31,0.64,0.61,1,
EW,2023-04-26,0.62,0.61,1,
EW,2023-07-26,0.66,0.65,1,
EW,2023-10-25,0.59,0.59,0,
EW,2024-02-06,0.64,0.64,0,
EW,2024-04-25,0.66,0.64,1,1369400000.0
EW,2024-07-24,0.7,0.69,1,1354400000.0
EW,2024-10-24,0.67,0.64,1,1385800000.0
EW,2025-02-11,0.59,0.55,1,1412700000.0
EW,2025-04-23,0.64,0.6,1,1532200000.0
